asset_id;original_carbon_footprint;refurb_carbon_cost;avoided_new_manufacturing_emissions;materials_recovered_kg;landfill_diversion_kg;circular_economy_value
AST000161;305.4;19.1;231.4;3.31;2.25;91.62
AST000162;255;32.1;215.9;10.67;7.2;234.74
AST000163;276.2;16.8;220.7;3.56;2.25;571.88
AST000164;225.5;30.5;178.1;12.25;7.2;195.77
AST000165;328.6;31.2;247.6;3.42;2.25;297.2
AST000166;308.2;28.9;74.1;1.5;2.12;0
AST000167;1272.4;64.3;1034.7;21.88;13.5;1282.9
AST000169;257.9;22.8;44.2;4.8;6.8;0
AST000170;257.5;14.9;59;4.8;6.8;0
AST000171;295;32.7;61.7;1.5;2.12;0
AST000172;214.7;30.2;161.3;7.28;4.5;138.84
AST000173;274.6;26.7;207.9;12.19;7.2;318.02
AST000174;277.9;31.6;218.8;3.5;2.25;368.16
AST000175;1184.9;94.9;988.5;22.93;13.5;646.37
AST000176;279.8;31.5;231.8;3.72;2.25;420.31
AST000177;297.2;25;60;1.5;2.12;0
AST000178;278.7;32;63.8;1.5;2.12;0
AST000179;267.2;17.9;226.9;10.5;7.2;243.68
AST000180;182.3;17.1;136.8;6.27;4.5;121.41
AST000181;244.9;13.8;206.5;12.02;7.2;127.73
AST000182;237.7;33.5;194.5;10.41;7.2;256.25
AST000183;261.5;24.2;220;10.9;7.2;131.78
AST000184;326.7;21.6;252.9;3.58;2.25;349.39
AST000185;1300.5;110.6;218;9;12.75;0
AST000186;257.9;19.4;217.8;10.69;7.2;321.2
AST000187;73.7;7;57.5;0.21;0.18;182.66
AST000188;1271.5;164;229.8;9;12.75;0
AST000189;253.2;35.7;202.5;10.86;7.2;284.72
AST000190;274.4;14.8;218.4;3.35;2.25;215.13
AST000191;270.7;14.5;218.1;11.76;7.2;449.13
AST000192;204.3;21;170.9;6.43;4.5;61.29
AST000193;1097.1;92.3;832;25.3;13.5;2516.07
AST000194;138;14.4;116.2;0.61;0.45;150.75
AST000195;260.9;18.1;218.3;10.85;7.2;202.84
AST000197;265.8;29.4;211.5;12.53;7.2;278.31
AST000199;316.8;32.1;268.7;3.35;2.25;345.26
AST000200;279;30.1;68.2;1.5;2.12;0
AST000201;257.1;36.2;211.1;11.66;7.2;372.53
AST000202;274.4;28.9;63.6;4.8;6.8;0
AST000203;290.2;21.4;234.5;3.61;2.25;393.19
AST000204;144.7;14.2;25.5;0.3;0.42;0
AST000205;286.3;38.3;223.4;3.37;2.25;270.21
AST000208;1163.4;105;876.4;23.22;13.5;349.02
AST000209;1241.2;79.7;1032.7;24.24;13.5;1136.31
AST000213;80.5;5.2;19.4;0.12;0.17;0
AST000214;1121.6;64.6;887.7;19.91;13.5;1543.28
AST000215;1225.5;61.3;1016.2;20.33;13.5;1745.28
AST000216;278.8;15.5;210.4;3.58;2.25;306.69
AST000217;322.6;22.6;272.7;3.49;2.25;230.94
AST000219;295.8;22.9;50.9;1.5;2.12;0
AST000220;273.7;20.4;221.7;3.58;2.25;328.23
AST000222;1278.6;162.1;1021.5;21.15;13.5;1352
AST000223;1243.4;174.2;293.9;9;12.75;0
AST000224;318.1;17.1;238.7;3.41;2.25;552.97
AST000226;231.7;33.5;182.1;11.97;7.2;316.79
AST000227;324.1;36.5;266.9;3.07;2.25;97.23
AST000228;269.5;31.8;58.3;4.8;6.8;0
AST000230;297.7;15.4;241.1;3.07;2.25;425.01
AST000231;72.3;5.2;58.1;0.24;0.18;236.56
AST000232;310;28.6;237.6;3.85;2.25;93
AST000233;317.9;30;256.2;3.47;2.25;231.6
AST000234;309.4;44.1;249.6;3.76;2.25;371.55
AST000235;279.8;30.6;222.9;3.5;2.25;292.5
AST000239;290.5;23.7;230.8;3.37;2.25;335.16
AST000240;259.4;26.1;40.9;4.8;6.8;0
AST000241;215.3;16.3;33.5;3;4.25;0
AST000242;314;38.5;258.1;3.38;2.25;533.26
AST000243;266.6;17.4;217.9;11.96;7.2;312.85
AST000244;288.3;19.7;218;3.57;2.25;407.27
AST000245;206.5;15.2;156.2;7.11;4.5;118.76
AST000246;275.6;33.4;221;3.15;2.25;343.8
AST000247;249.3;19.6;51;4.8;6.8;0
AST000248;259.8;16.9;56.6;4.8;6.8;0
AST000249;1184.2;65.6;276.7;9;12.75;0
AST000250;288;30.7;46.1;1.5;2.12;0
AST000251;304.3;32.1;241;3.52;2.25;207.09
AST000252;254.3;15.7;45.1;4.8;6.8;0
AST000253;267.1;17.6;212.5;10.43;7.2;502.86
AST000254;273;18.7;227.9;3.82;2.25;314.56
AST000255;157.5;16.6;124.3;0.63;0.45;107.79
AST000256;1139.3;158.9;274.8;9;12.75;0
AST000257;160.6;20.3;134.8;0.64;0.45;160.07
AST000258;290.8;30.9;233.2;3.36;2.25;219.85
AST000259;211.5;15;176.1;5.85;4.5;213.87
AST000261;252.3;35;48.8;4.8;6.8;0
AST000262;80.7;5.4;64.5;0.25;0.18;24.21
AST000263;321.7;41.1;257.1;4.01;2.25;232.98
AST000264;248;32.1;208.5;11.68;7.2;492.07
AST000266;315;43.4;243.4;3.7;2.25;292.37
AST000267;257.8;19.9;204.2;10.79;7.2;177.55
AST000268;183.8;17.4;139.1;7.04;4.5;220.37
AST000269;279.5;31.7;227.4;3.02;2.25;292.24
AST000270;1120.5;119.8;178.7;9;12.75;0
AST000271;273.4;24.6;229;10.84;7.2;208.07
AST000272;219.4;29.8;180.9;6.12;4.5;139.15
AST000273;1293.7;86.9;297.8;9;12.75;0
AST000274;276.6;20.6;230.4;3.35;2.25;663.59
AST000277;1141;129.7;232.7;9;12.75;0
AST000278;280.5;15.4;218.3;3.03;2.25;330.84
AST000279;188.5;12;158.3;6.64;4.5;101.18
AST000281;297.6;19.5;238.9;3.87;2.25;414.2
AST000282;180.7;21.1;136.7;6.37;4.5;192.14
AST000283;265.2;25.6;223.1;12.12;7.2;243.66
AST000284;308.1;42.3;233.6;3.46;2.25;336.79
AST000285;239.9;17.2;49.2;4.8;6.8;0
AST000286;289.8;21.2;230.6;3.17;2.25;708.91
AST000287;317.3;29.7;73.7;1.5;2.12;0
AST000290;300.7;28.9;251.9;3.3;2.25;371.44
AST000292;232;22.3;193.3;11.9;7.2;108.13
AST000294;241.9;22.9;186.8;12.23;7.2;259.4
AST000295;184.6;24.4;147.7;6.78;4.5;89.15
AST000296;297;17.4;235.7;3.5;2.25;368.44
AST000297;144.3;9.9;32.4;0.3;0.42;0
AST000298;208.7;24.4;161.7;6.62;4.5;72.72
AST000299;184.8;25.5;139.8;6.43;4.5;138.13
AST000301;268.7;20.1;208.6;12.93;7.2;340.5
AST000302;1276.8;73.8;1060.6;25.29;13.5;1237.73
AST000303;1236.5;179.8;951.2;22.99;13.5;914.3
AST000304;214.5;11.1;172.8;6.9;4.5;220.25
AST000305;254.1;24.8;201.1;11.48;7.2;229.61
AST000306;279.9;32.2;231.2;3.3;2.25;397.36
AST000307;242;33.3;47.4;4.8;6.8;0
AST000308;320.5;28.4;254.6;3.54;2.25;516.95
AST000309;273.2;15.5;226.5;10.9;7.2;157
AST000310;288.8;28.7;231.3;3.69;2.25;300.36
AST000311;306.2;41.3;47;1.5;2.12;0
AST000313;1152.6;142.7;178.8;9;12.75;0
AST000314;319.8;41.4;265.2;3.04;2.25;226.47
AST000315;274.7;20.3;219.7;11.01;7.2;443.32
AST000316;185.9;19;30.2;3;4.25;0
AST000317;214.8;17.6;181.3;7.44;4.5;128.86
AST000318;272.1;14.2;225.6;3.38;2.25;466.71
AST000319;143.6;16.6;119.9;0.57;0.45;108.42
AST000320;313.5;38.5;245.8;3.54;2.25;371.85
AST000321;184.4;22.1;138.5;5.63;4.5;139.12
AST000323;311.6;17.4;243.8;3.57;2.25;452.04
AST000324;301.7;16.7;229.4;3.39;2.25;541.3
AST000325;1114.3;125.4;264.8;9;12.75;0
AST000326;1105.1;160.1;165.9;9;12.75;0
AST000327;304.6;22.2;230.8;3.35;2.25;569.53
AST000328;1200.1;82.8;946.5;23.34;13.5;1518.77
AST000329;1176.3;74.6;904.5;21.91;13.5;1041.14
AST000330;283.6;15.7;231.8;3.26;2.25;197.6
AST000331;268.3;27.5;228;12.15;7.2;221.21
AST000332;260.7;13.9;43.6;4.8;6.8;0
AST000333;186.3;18.6;145.2;6.41;4.5;102.6
AST000334;180;24.4;142.2;6.36;4.5;114.48
AST000335;272;21.3;227.1;12.34;7.2;261.94
AST000336;288.8;35.2;236.9;3.59;2.25;86.64
AST000337;1090.2;60.6;825.6;23.95;13.5;1377.93
AST000338;260.7;33;198.3;12.17;7.2;383.24
AST000339;1105.2;123.5;848.1;22.77;13.5;2586.23
AST000340;243.4;28.4;45;4.8;6.8;0
AST000341;322.2;43.5;244.3;3.59;2.25;408.32
AST000342;1112.8;160.1;189.2;9;12.75;0
AST000343;1100.5;101.6;876.4;22.33;13.5;1865.07
AST000344;320.1;44.6;260.2;3.58;2.25;532.17
AST000345;286;39.6;219.2;3.96;2.25;259.5
AST000346;1265.8;69.3;1046.4;23.19;13.5;1194.42
AST000347;1123.6;144.5;890.3;23.63;13.5;1049.87
AST000348;243.6;31.5;39.9;4.8;6.8;0
AST000349;306.4;38;250.4;3.23;2.25;651.25
AST000350;306.2;36;255.9;3.53;2.25;682.94
AST000352;288.9;19;218.2;3.95;2.25;257.74
AST000353;290.2;36.9;223.9;3.13;2.25;87.06
AST000354;1081.9;97.1;813.1;23.44;13.5;324.57
AST000358;247.9;21.9;42.5;4.8;6.8;0
AST000363;277.1;24.1;67.6;1.5;2.12;0
AST000368;1164.7;130.6;948.7;23.09;13.5;694.58
AST000369;191.8;26;146.9;6.7;4.5;144.84
AST000371;250.8;22.2;190.7;12.23;7.2;191.16
AST000372;225;19.3;169.4;10.88;7.2;509.06
AST000375;274.7;34.4;228.9;3;2.25;537.8
AST000377;250.4;31.2;188.4;10.43;7.2;435.64
AST000378;325.3;19.6;254.3;3.34;2.25;423.44
AST000379;1108.5;79.5;900.7;23.41;13.5;1366.74
AST000382;273.1;30.9;224.4;3.53;2.25;489.63
AST000383;256.3;23.5;192.3;12.17;7.2;334.72
AST000384;304.3;32.1;61.3;1.5;2.12;0
AST000386;246.6;18.4;203.2;11.78;7.2;73.98
AST000387;1268.5;161.1;284.7;9;12.75;0
AST000388;228.4;33.5;183.5;9.83;7.2;418.82
AST000389;242.3;20.8;187;12.83;7.2;240.81
AST000392;253.2;14.1;198.7;10.66;7.2;137.25
AST000393;230.3;14.8;42.5;4.8;6.8;0
AST000394;307.5;45.5;259.2;3.27;2.25;596.91
AST000395;293.9;23.1;241.8;3.67;2.25;473.33
AST000396;209.7;15;175.3;6.57;4.5;203.66
AST000397;270.5;29.1;205;3.52;2.25;355.98
AST000398;257.7;28.3;209.8;10.79;7.2;164.58
AST000399;182.5;26.4;147.7;6.82;4.5;101.81
AST000402;241.7;33.4;192.2;12.34;7.2;354.53
AST000404;250;27.8;211.3;10.71;7.2;382.27
AST000405;1105.3;164.3;181.9;9;12.75;0
AST000406;1203.9;72.4;954.8;25.53;13.5;1132.61
AST000408;317.4;41.6;256.2;3.56;2.25;333.91
AST000409;289.1;39.8;234.2;3.58;2.25;212.67
AST000410;155.3;19.5;32.3;0.3;0.42;0
AST000411;208.9;21.6;169.2;5.89;4.5;108.84
AST000413;256.7;17.3;201.1;13.07;7.2;157.81
AST000414;244.6;30.6;190;11.16;7.2;151.42
AST000415;311.8;39.7;235.8;3.42;2.25;566.3
AST000416;1085.3;118.7;916.1;19.47;13.5;1054.02
AST000417;146.8;12.8;115.5;0.68;0.45;292.77
AST000419;1277.1;145.9;1042.9;21.77;13.5;1571.02
AST000420;212.8;11.4;170;7.35;4.5;135.74
AST000421;273.4;34.1;219.8;11.57;7.2;214.17
AST000422;283.9;42.4;230.3;3.48;2.25;422.95
AST000424;1282.2;178.3;1024.8;23.6;13.5;1322.95
AST000425;318.2;22.3;246.2;3.26;2.25;95.46
AST000426;234.7;17.9;190.4;11.27;7.2;276.91
AST000427;201.7;11.3;168.6;6.58;4.5;320.03
AST000428;1155.3;167.5;888.4;24.44;13.5;1286.42
AST000429;278;23.2;211.6;3.72;2.25;583.3
AST000431;1143.5;145.9;869;21.86;13.5;1567.89
AST000432;1265.7;181;1047.5;24.72;13.5;379.71
AST000434;319.5;41.1;56.4;1.5;2.12;0
AST000435;192.7;15.2;161.6;6.79;4.5;95.67
AST000436;142;20.6;110.8;0.6;0.45;174.99
AST000437;307.5;27.7;254;3.1;2.25;654.24
AST000439;298.2;17.1;234.2;3.7;2.25;569.19
AST000440;227.7;21.6;178.3;11.29;7.2;238.15
AST000441;257.2;21;208.9;12.08;7.2;331.07
AST000442;140.4;9.1;29.6;0.3;0.42;0
AST000443;1121.1;118.5;852.8;23.64;13.5;1753.73
AST000444;245.1;31.4;185;12.18;7.2;401.67
AST000445;312.2;19.2;261.8;3.26;2.25;502.77
AST000446;309.5;32.1;241.4;3.97;2.25;643.41
AST000447;282;38.2;218.3;3.72;2.25;217.01
AST000448;273.7;26;219.9;3.28;2.25;710.13
AST000451;277.8;34.9;236;3.44;2.25;217.74
AST000452;323.9;17.3;261.9;3.81;2.25;172.13
AST000454;280.5;41.9;235.6;3.5;2.25;125.55
AST000455;209;28.1;162.7;5.55;4.5;204.13
AST000456;231.3;30.4;196;11.84;7.2;395.58
AST000457;249.2;32.6;208.1;11.01;7.2;289.17
AST000458;196.6;23.2;160.9;6.7;4.5;58.98
AST000459;257.2;17.9;212.6;9.98;7.2;444.87
AST000460;321.3;34.2;254.4;3.33;2.25;279.59
AST000461;304.3;35.9;257.1;3.34;2.25;357.22
AST000462;313.8;28.9;265.9;3.58;2.25;398.12
AST000463;225;18.5;176.9;12.37;7.2;180.92
AST000464;202.2;14.4;164.6;6.8;4.5;60.66
AST000466;250.6;23.8;54.8;4.8;6.8;0
AST000467;1227.6;111.3;938.8;22.1;13.5;1486.25
AST000469;143.4;14.5;116;0.6;0.45;215.84
AST000470;309.1;21.6;233.6;3.8;2.25;496.51
AST000471;319.6;29.7;260.6;3.89;2.25;373.06
AST000472;239.7;24.9;191;12.75;7.2;157.3
AST000473;323.1;23.4;254.2;3.65;2.25;472.04
AST000474;1210.3;83.3;275.3;9;12.75;0
AST000475;290.6;20.1;237.5;3.88;2.25;260.84
AST000476;186.6;24.9;154.4;6.63;4.5;96.31
AST000477;298.3;15.3;225.4;3;2.25;324.61
AST000478;1107.6;160.2;174.4;9;12.75;0
AST000479;161.9;19.8;129.6;0.53;0.45;225.51
AST000481;231.9;27.8;176.3;10.49;7.2;250.34
AST000483;1214.5;140.2;268;9;12.75;0
AST000486;317.6;32;70.1;1.5;2.12;0
AST000487;329.4;24.7;54.1;1.5;2.12;0
AST000488;248.9;35.6;196;11.3;7.2;435.51
AST000489;324.8;35.5;247.9;3.4;2.25;318.75
AST000490;238.8;15.8;195.8;11.7;7.2;321.44
AST000491;294.5;19.5;234.2;3.62;2.25;168.39
AST000492;283.4;31.1;233;3.35;2.25;698.41
AST000493;294.2;28.5;70.2;1.5;2.12;0
AST000494;197.8;28.6;163.6;7.39;4.5;163.23
AST000497;1148.6;79.9;929;20.94;13.5;1508.88
AST000500;272.4;28.3;204.7;3.57;2.25;499.67
AST000502;226.3;30.4;179.8;11;7.2;416.07
AST000503;270.8;35.3;50.5;4.8;6.8;0
AST000504;1100.2;123.5;907.2;26.02;13.5;1817.77
AST000505;319.8;25;70.3;1.5;2.12;0
AST000508;286.3;25.8;241.3;3.58;2.25;240.11
AST000510;322.2;38.1;267.1;3.55;2.25;257.89
AST000511;311.6;44.8;234.9;3.43;2.25;93.48
AST000512;232.5;34.6;175.4;11.25;7.2;69.75
AST000513;318.2;38.4;247.4;3.89;2.25;425.33
AST000514;283.8;37.9;218.3;3.55;2.25;250.32
AST000515;257.8;20.4;204.4;11.94;7.2;77.34
AST000516;232.8;14;184.7;12.6;7.2;568.65
AST000517;84.3;8.5;69.9;0.25;0.18;346.5
AST000518;226.2;32.7;170.6;11.66;7.2;328.06
AST000519;268.3;38.4;205;12.33;7.2;134.6
AST000520;279.1;36;222.2;3.31;2.25;489.22
AST000523;289.9;33.1;240.2;3.29;2.25;276.57
AST000524;263.9;20.2;65.9;4.8;6.8;0
AST000525;1200.1;120;1006.6;21.44;13.5;1745.53
AST000526;278.6;15.8;214.3;3.97;2.25;336.33
AST000527;1227.5;113.5;999.6;22.81;13.5;1944.43
AST000528;256.7;26.4;52.3;4.8;6.8;0
AST000530;269.6;15.2;205.5;11.31;7.2;314.45
AST000531;310;27.6;254.6;3.48;2.25;228.14
AST000532;74.8;6.3;56.3;0.24;0.18;160.87
AST000533;79.6;9.8;64.3;0.24;0.18;263.27
AST000534;307.9;45.1;70.9;1.5;2.12;0
AST000535;275.6;18.4;232.4;3.6;2.25;410.37
AST000536;1284;125.4;1024.4;23.78;13.5;1754.24
AST000537;309.1;22.3;238.9;3.23;2.25;272.99
AST000538;212.8;22.9;179.4;6.97;4.5;65.09
AST000540;312.1;17.3;242.6;3.43;2.25;502.98
AST000542;138.6;10.3;104.5;0.62;0.45;163.18
AST000544;154.8;14.9;123.5;0.59;0.45;209.33
AST000546;293.5;26.7;244.3;3.84;2.25;367.42
AST000547;277;36.7;229.4;3.64;2.25;174.88
AST000548;280.3;20.3;212.9;3.49;2.25;317.97
AST000549;183.2;20.7;30.2;3;4.25;0
AST000550;258.9;33.8;204.6;12.46;7.2;279.81
AST000551;304.8;31.9;232.4;3.13;2.25;268.04
AST000552;145.3;7.9;30.6;0.3;0.42;0
AST000553;182.2;10.2;149.7;6.46;4.5;126.94
AST000555;264.2;22;202.2;11.92;7.2;314.42
AST000556;225.7;12.2;182;12.01;7.2;283.4
AST000557;258.3;34.7;202.7;12.03;7.2;305.23
AST000558;305.9;26.1;68.4;1.5;2.12;0
AST000560;276.8;36.1;46.1;1.5;2.12;0
AST000562;310.8;40.4;242.1;3.6;2.25;253.2
AST000563;274.6;35.4;228.8;3.07;2.25;498.41
AST000564;309.2;37.3;246.6;3.41;2.25;422.76
AST000566;276.7;29.3;231.7;3.43;2.25;388.67
AST000567;283.5;29.5;216.5;3.36;2.25;374.52
AST000568;318.6;26.6;267;3.29;2.25;280.4
AST000569;302.9;44.5;247.1;3.37;2.25;405.41
AST000570;274.7;28.5;51.6;4.8;6.8;0
AST000571;295.1;27.7;72.2;1.5;2.12;0
AST000572;288.9;40.1;224.9;3.34;2.25;168.04
AST000573;311.7;35.5;263.2;3.87;2.25;267.35
AST000574;240.9;31.3;201.1;10.19;7.2;264.89
AST000575;157;21.1;119.4;0.64;0.45;140.22
AST000576;271.9;26.5;206;3.85;2.25;81.57
AST000577;1223.3;149.2;1018.7;24.84;13.5;1350.64
AST000578;186.6;12;147.7;6.15;4.5;178.56
AST000579;274.9;18.9;230.1;3.46;2.25;260.66
AST000581;259;24.8;198.4;11.67;7.2;268.24
AST000582;144.6;21.4;119;0.63;0.45;102.02
AST000583;284.3;20.8;217.1;3.64;2.25;619.16
AST000584;1272.9;88.3;1035.9;24.95;13.5;1425.81
AST000586;147.8;12.8;114.1;0.57;0.45;210.2
AST000587;266.3;33.4;224.8;10.13;7.2;369.02
AST000588;1170.4;121.9;961.8;22.87;13.5;1052.59
AST000589;302.8;27.5;234.9;3.1;2.25;233.64
AST000590;163.4;19.5;134.6;0.64;0.45;49.02
AST000591;1122.5;93.3;942.3;21.17;13.5;1525.82
AST000592;318.7;32.8;267.7;3.86;2.25;487.12
AST000595;317.6;31.4;267;3.39;2.25;222.28
AST000596;83.2;5;67.3;0.24;0.18;266.6
AST000597;291;37.7;243.8;3.45;2.25;127.97
AST000598;211;25.3;165.5;7.19;4.5;160.48
AST000599;297.8;19.7;249.7;3.47;2.25;254.22
AST000600;274.4;18.1;222.7;3.63;2.25;82.32
AST000601;1146.4;157.1;916.8;21.87;13.5;885.86
AST000603;159.7;17.7;126.7;0.57;0.45;107.92
AST000604;1153.8;62.7;978.3;20.58;13.5;2674.13
AST000605;290.5;20.9;241.3;3.49;2.25;87.15
AST000606;226.6;29.6;183.9;12.04;7.2;487.6
AST000607;274.6;26.2;226.4;11.39;7.2;217.68
AST000609;274.1;25.1;217.8;3.27;2.25;233.23
AST000610;318.5;37.2;243.1;3.59;2.25;95.55
AST000611;1119.4;148.3;902.7;24.27;13.5;1121.48
AST000612;1262.6;103.2;971.5;24.06;13.5;378.78
AST000613;321.2;29.8;255.2;3.55;2.25;236.66
AST000614;318.2;18.4;242.6;3.67;2.25;492.87
AST000615;83.1;6.4;70.3;0.25;0.18;279.09
AST000616;279.3;35;220;3.51;2.25;352.39
AST000617;230.8;26.5;195.6;12.11;7.2;309.72
AST000618;1266.1;103.7;985.1;23.1;13.5;1578.81
