asset_id;sale_date;sale_price;sale_channel;customer_type;warranty_months;shipping_cost;customer_satisfaction
AST000110;25/4/2021;344.25;Online_Marketplace;Enterprise;3;17.53;4.6
AST000111;9/12/2022;446.39;Auction;Enterprise;3;20.7;4
AST000114;15/8/2021;1410.69;Online_Marketplace;Government;3;53.16;4.4
AST000116;11/2/2021;357.65;Online_Marketplace;Enterprise;3;17.56;4.1
AST000118;23/6/2024;554.97;Online_Marketplace;Enterprise;6;20.8;5
AST000119;13/7/2021;292.34;Export;Government;12;24.42;5
AST000120;24/10/2021;196.65;Export;SMB;12;20.02;4.6
AST000121;24/7/2020;239.25;Direct_B2B;Education;12;28.67;5
AST000122;24/12/2022;689.7;Export;Government;12;17.88;4.8
AST000123;1/7/2023;471.36;Direct_B2B;SMB;12;25.79;5
AST000124;5/7/2023;634.42;Online_Marketplace;Education;6;13.5;5
AST000127;17/3/2020;199.38;Online_Marketplace;Government;3;24.08;4.7
AST000128;7/4/2024;817.91;Retail_Partner;Enterprise;12;14.14;4.9
AST000130;28/1/2021;328.45;Online_Marketplace;Enterprise;3;14.39;4.6
AST000131;4/7/2020;230.62;Retail_Partner;SMB;6;28.04;4.5
AST000133;16/9/2024;558.71;Online_Marketplace;SMB;6;15.23;5
AST000136;21/7/2022;531.89;Retail_Partner;Enterprise;12;16.98;5
AST000137;28/5/2022;378.71;Direct_B2B;Enterprise;6;16.68;4.2
AST000138;25/1/2020;218.71;Retail_Partner;Enterprise;6;13.32;4.4
AST000139;9/2/2024;756.65;Direct_B2B;Consumer;12;15.15;5
AST000144;11/11/2021;390.52;Online_Marketplace;Education;3;23.42;4.7
AST000145;7/7/2024;238.95;Direct_B2B;Consumer;12;16.06;5
AST000146;22/3/2021;1674.24;Direct_B2B;SMB;6;58.96;4.7
AST000153;28/5/2023;1903.38;Retail_Partner;Enterprise;12;56.2;5
AST000154;22/10/2022;137.97;Direct_B2B;Education;12;22.36;5
AST000155;10/8/2022;511.72;Retail_Partner;Government;12;15.31;4.6
AST000156;13/10/2021;154.04;Online_Marketplace;Education;3;17.74;4.5
AST000157;16/1/2021;284.2;Direct_B2B;Enterprise;6;16.55;4
AST000162;18/4/2022;335.35;Online_Marketplace;Enterprise;3;25.07;4.4
AST000163;23/10/2023;816.97;Direct_B2B;SMB;12;17.19;5
AST000164;9/7/2021;279.67;Retail_Partner;Enterprise;12;26.6;5
AST000165;5/2/2022;424.57;Direct_B2B;Enterprise;6;17.02;4.8
AST000167;1/12/2020;1832.72;Direct_B2B;SMB;12;58.49;4.8
AST000172;17/11/2023;198.35;Retail_Partner;Education;12;23.21;5
AST000173;27/9/2022;454.32;Retail_Partner;Enterprise;12;20.49;5
AST000174;2/7/2022;525.95;Export;Education;12;14.24;5
AST000175;25/4/2021;923.39;Retail_Partner;SMB;6;51.29;4.4
AST000176;28/7/2022;600.44;Export;Enterprise;12;17.68;4.7
AST000179;10/1/2022;348.11;Direct_B2B;Enterprise;12;20.62;4.9
AST000180;30/10/2021;173.45;Export;Enterprise;12;21.55;5
AST000181;25/3/2020;182.47;Direct_B2B;SMB;6;25.08;4.9
AST000182;19/3/2021;366.07;Direct_B2B;Education;6;28.28;4.4
AST000183;21/7/2020;188.26;Direct_B2B;Government;6;21.07;4.4
AST000184;29/12/2021;499.13;Direct_B2B;Enterprise;12;15.58;4.8
AST000186;16/10/2023;458.86;Retail_Partner;Education;12;23.47;4.8
AST000187;15/1/2023;260.95;Retail_Partner;Enterprise;6;7.32;4.8
AST000189;5/4/2022;406.75;Direct_B2B;Consumer;12;22.53;5
AST000190;30/8/2022;307.33;Direct_B2B;Government;6;16.58;4.7
AST000191;19/8/2022;641.61;Online_Marketplace;Enterprise;6;20.13;5
AST000193;4/9/2024;3594.38;Direct_B2B;SMB;12;43.18;5
AST000194;16/7/2021;215.36;Online_Marketplace;SMB;3;8.88;4.6
AST000195;2/7/2021;289.77;Direct_B2B;Enterprise;12;28.63;5
AST000197;16/3/2022;397.59;Online_Marketplace;Education;6;22.07;4.9
AST000199;25/9/2022;493.23;Online_Marketplace;SMB;6;17.87;4.9
AST000201;4/5/2024;532.18;Auction;Enterprise;6;26.28;5
AST000203;6/7/2022;561.7;Auction;SMB;6;17.2;5
AST000205;10/3/2022;386.01;Export;Enterprise;6;15.79;4.4
AST000209;15/12/2021;1623.3;Retail_Partner;Education;12;54.1;4.9
AST000214;20/5/2023;2204.68;Retail_Partner;Government;12;46.26;4.9
AST000215;12/1/2024;2493.26;Online_Marketplace;Enterprise;6;50.74;4.9
AST000216;14/11/2021;438.13;Online_Marketplace;Government;6;14.99;5
AST000217;12/2/2020;329.91;Direct_B2B;Consumer;6;12.16;4.8
AST000220;13/9/2021;468.9;Online_Marketplace;Consumer;6;12.12;5
AST000222;17/10/2022;1931.43;Retail_Partner;Government;12;51.3;4.8
AST000224;26/5/2023;789.96;Retail_Partner;SMB;12;14.37;5
AST000226;19/7/2022;452.56;Direct_B2B;SMB;12;27.86;5
AST000230;16/2/2024;607.16;Retail_Partner;Education;12;16.7;5
AST000231;3/1/2024;337.94;Retail_Partner;Education;12;6.5;5
AST000233;8/5/2020;330.85;Retail_Partner;SMB;6;12.35;4.4
AST000234;23/9/2022;530.78;Online_Marketplace;Government;6;17.91;4.8
AST000235;20/12/2021;417.86;Direct_B2B;Enterprise;12;15.96;5
AST000239;11/4/2023;478.8;Retail_Partner;Enterprise;12;12.88;5
AST000242;21/11/2023;761.8;Retail_Partner;Enterprise;12;14.96;4.6
AST000243;21/6/2023;446.93;Direct_B2B;Enterprise;12;25.46;5
AST000244;31/10/2023;581.82;Direct_B2B;Education;12;16.12;5
AST000245;21/6/2022;169.65;Direct_B2B;SMB;12;16.75;5
AST000246;18/3/2021;491.14;Direct_B2B;SMB;6;16.53;4.7
AST000251;1/8/2021;295.84;Direct_B2B;SMB;12;14.98;5
AST000253;10/12/2023;718.37;Online_Marketplace;SMB;6;29.83;4.8
AST000254;11/8/2022;449.37;Retail_Partner;Government;6;12.25;5
AST000255;14/11/2020;153.99;Retail_Partner;Enterprise;6;10.26;4.7
AST000257;10/6/2023;228.67;Retail_Partner;SMB;12;9.08;4.2
AST000258;4/9/2021;314.07;Online_Marketplace;Enterprise;6;13.57;5
AST000259;19/8/2024;305.53;Auction;SMB;6;16.56;5
AST000263;30/6/2021;332.83;Online_Marketplace;Enterprise;3;14.76;4.5
AST000264;13/7/2023;702.96;Direct_B2B;Enterprise;12;20.69;5
AST000266;7/4/2021;417.67;Online_Marketplace;Enterprise;3;13.64;4.8
AST000267;25/2/2021;253.64;Auction;Education;3;25.69;4.4
AST000268;21/10/2024;314.82;Direct_B2B;Enterprise;12;20.68;4.8
AST000269;16/4/2021;417.48;Direct_B2B;Enterprise;12;16.67;5
AST000271;10/2/2022;297.24;Export;Enterprise;12;20.9;5
AST000272;18/9/2021;198.79;Auction;Government;6;21.88;4.7
AST000274;11/4/2024;947.99;Retail_Partner;Enterprise;12;16.64;5
AST000278;27/3/2021;472.63;Retail_Partner;Education;6;12.51;5
AST000279;14/10/2021;144.54;Direct_B2B;SMB;12;18.23;5
AST000281;12/10/2024;591.72;Direct_B2B;Enterprise;12;12.14;5
AST000282;25/6/2024;274.48;Direct_B2B;Enterprise;12;16.02;5
AST000283;12/1/2021;348.09;Online_Marketplace;SMB;6;29.36;4.4
AST000284;1/11/2021;481.13;Online_Marketplace;Enterprise;3;13.28;4.3
AST000286;22/1/2024;1012.73;Auction;Enterprise;6;15.56;5
AST000290;14/7/2023;530.63;Direct_B2B;Enterprise;12;14.91;5
AST000292;6/3/2020;154.47;Retail_Partner;SMB;6;28.11;4.4
AST000294;4/2/2023;370.57;Direct_B2B;Enterprise;6;28.67;4.6
AST000295;17/8/2021;127.36;Online_Marketplace;Enterprise;6;21.82;4.7
AST000296;12/11/2022;526.34;Online_Marketplace;Enterprise;6;17.67;4.5
AST000298;4/11/2020;103.88;Direct_B2B;Enterprise;12;17.25;5
AST000299;12/12/2021;197.33;Online_Marketplace;Education;6;19.09;4.6
AST000301;28/11/2022;486.43;Direct_B2B;Enterprise;12;20.98;4.9
AST000302;13/1/2021;1768.18;Retail_Partner;Enterprise;12;55.44;5
AST000303;25/8/2020;1306.15;Online_Marketplace;Enterprise;3;53.71;4.5
AST000304;16/8/2023;314.64;Online_Marketplace;Government;6;19.73;5
AST000305;21/6/2022;328.01;Direct_B2B;SMB;12;26.05;5
AST000306;27/8/2023;567.66;Online_Marketplace;SMB;6;13.65;5
AST000308;15/5/2023;738.5;Online_Marketplace;Enterprise;6;16.32;5
AST000309;24/2/2021;224.29;Online_Marketplace;Education;3;27.32;4.3
AST000310;12/3/2022;429.09;Retail_Partner;Government;12;16.45;4.4
AST000314;5/2/2021;323.53;Direct_B2B;SMB;6;17.22;4.4
AST000315;27/7/2024;633.32;Retail_Partner;Education;12;26.75;5
AST000317;31/12/2020;184.09;Direct_B2B;Education;12;17.13;5
AST000318;10/4/2023;666.73;Online_Marketplace;SMB;6;14.18;5
AST000319;29/9/2020;154.88;Direct_B2B;SMB;6;9.67;4.5
AST000320;5/7/2022;531.22;Retail_Partner;Enterprise;12;13.53;5
AST000321;3/7/2023;198.75;Retail_Partner;Education;12;17.34;5
AST000323;18/6/2023;645.77;Online_Marketplace;Government;6;17.8;4.9
AST000324;5/6/2023;773.29;Direct_B2B;Enterprise;12;14.53;5
AST000327;12/5/2023;813.61;Direct_B2B;Enterprise;12;12.93;5
AST000328;5/3/2024;2169.67;Direct_B2B;Enterprise;12;44.44;4.9
AST000329;22/3/2020;1487.34;Direct_B2B;Enterprise;6;58.85;4.6
AST000330;28/4/2020;282.29;Export;Education;6;13.03;4.7
AST000331;12/9/2022;316.02;Online_Marketplace;Education;6;25.01;4.9
AST000333;29/8/2022;146.57;Direct_B2B;Education;12;16.05;5
AST000334;14/10/2021;163.55;Export;SMB;12;23.6;4.9
AST000335;22/5/2023;374.2;Direct_B2B;Education;12;23.45;5
AST000337;26/6/2024;1968.47;Retail_Partner;Enterprise;12;44.75;5
AST000338;5/11/2023;547.49;Online_Marketplace;Enterprise;6;26.45;5
AST000339;30/9/2024;3694.62;Direct_B2B;Consumer;12;51.52;4.9
AST000341;27/10/2022;583.31;Auction;Education;6;13.98;5
AST000343;17/6/2023;2664.38;Auction;Enterprise;6;49.78;5
AST000344;24/11/2023;760.24;Direct_B2B;Enterprise;12;17.12;4.9
AST000345;26/6/2020;370.72;Direct_B2B;SMB;6;12.72;4.4
AST000346;28/1/2022;1706.32;Direct_B2B;Enterprise;12;51.65;5
AST000347;11/1/2021;1499.82;Direct_B2B;Education;12;46.77;4.5
AST000349;25/9/2024;930.36;Retail_Partner;Education;12;12.08;5
AST000350;12/4/2024;975.63;Direct_B2B;Enterprise;12;14.77;5
AST000352;1/5/2020;368.2;Auction;SMB;3;13.78;4.5
AST000368;27/7/2021;992.26;Direct_B2B;Enterprise;6;49.25;4.1
AST000369;20/11/2022;206.92;Direct_B2B;SMB;12;21.45;5
AST000371;29/10/2021;273.09;Auction;Enterprise;3;23.39;4.9
AST000372;18/6/2024;727.23;Retail_Partner;SMB;12;21.59;5
AST000375;5/11/2021;768.28;Retail_Partner;SMB;12;16.88;4.9
AST000377;31/3/2024;622.35;Export;Enterprise;12;22.48;5
AST000378;24/11/2023;604.92;Online_Marketplace;Enterprise;6;17.58;5
AST000379;19/11/2021;1952.48;Direct_B2B;Enterprise;12;45.9;5
AST000382;21/7/2023;699.47;Retail_Partner;Enterprise;12;14.54;5
AST000383;21/10/2021;478.17;Direct_B2B;Enterprise;12;26.72;5
AST000388;14/5/2024;598.32;Direct_B2B;Enterprise;12;21.27;4.9
AST000389;24/1/2021;344.01;Online_Marketplace;SMB;6;23.73;4.7
AST000392;30/4/2020;196.07;Online_Marketplace;Enterprise;3;25.39;4.8
AST000394;11/10/2024;852.73;Auction;Enterprise;6;12.99;5
AST000395;15/8/2022;676.18;Retail_Partner;Enterprise;12;17.2;5
AST000396;9/9/2024;290.94;Auction;Enterprise;6;23.9;4.9
AST000397;24/3/2023;508.55;Direct_B2B;SMB;12;15.97;5
AST000398;4/10/2021;235.11;Online_Marketplace;Enterprise;3;20.9;4.4
AST000399;6/12/2020;145.45;Retail_Partner;Enterprise;6;16.24;4.8
AST000402;14/6/2024;506.47;Direct_B2B;Enterprise;12;22.31;5
AST000404;26/9/2024;546.1;Retail_Partner;Education;12;23.85;5
AST000406;6/9/2021;1618.02;Retail_Partner;Enterprise;12;46.27;5
AST000408;26/8/2022;477.02;Online_Marketplace;Education;6;13.43;5
AST000409;14/12/2021;303.82;Export;Enterprise;6;14.93;4.8
AST000411;30/10/2022;155.49;Direct_B2B;SMB;12;17.91;5
AST000413;26/3/2020;225.44;Direct_B2B;Enterprise;6;27.48;5
AST000414;18/5/2021;216.31;Direct_B2B;SMB;12;21.56;5
AST000415;28/12/2023;809;Direct_B2B;Enterprise;12;12.1;4.8
AST000416;12/8/2022;1505.74;Direct_B2B;SMB;6;55.63;4.4
AST000417;22/7/2024;418.25;Retail_Partner;Enterprise;12;11.71;5
AST000419;27/12/2021;2244.31;Export;Consumer;12;40.01;5
AST000420;18/6/2023;193.91;Direct_B2B;Enterprise;12;22.74;4.7
AST000421;8/3/2022;305.96;Retail_Partner;Enterprise;12;28.11;4.9
AST000422;23/2/2022;604.21;Direct_B2B;Enterprise;12;17.87;5
AST000424;22/9/2020;1889.93;Online_Marketplace;Government;3;51.76;4.3
AST000426;16/9/2023;395.59;Retail_Partner;Enterprise;12;23.35;5
AST000427;14/11/2023;457.18;Auction;Consumer;6;17.17;5
AST000428;6/7/2023;1837.74;Online_Marketplace;SMB;6;49.59;4.8
AST000429;26/7/2024;833.28;Online_Marketplace;Education;6;13.57;5
AST000431;9/8/2023;2239.84;Direct_B2B;Enterprise;12;53.04;5
AST000435;11/8/2020;136.67;Export;Enterprise;12;19.45;5
AST000436;29/11/2022;249.98;Direct_B2B;SMB;6;11.19;4.6
AST000437;15/9/2023;934.63;Auction;Enterprise;6;16.62;4.9
AST000439;19/8/2024;813.13;Auction;Enterprise;6;15.62;4.9
AST000440;20/11/2022;340.21;Direct_B2B;Consumer;6;25.77;4.7
AST000441;30/9/2022;472.96;Direct_B2B;Enterprise;12;25.23;5
AST000443;15/9/2023;2505.33;Auction;Enterprise;6;55.99;4.8
AST000444;27/10/2024;573.81;Retail_Partner;Enterprise;12;28.34;5
AST000445;7/6/2024;718.24;Online_Marketplace;Enterprise;6;15.35;4.7
AST000446;2/12/2023;919.16;Retail_Partner;Enterprise;12;14.47;5
AST000447;27/12/2021;310.01;Online_Marketplace;Enterprise;6;13.16;4.6
AST000448;20/9/2023;1014.47;Direct_B2B;Enterprise;12;14.33;4.9
AST000451;4/3/2021;311.05;Direct_B2B;Education;6;17.33;4.4
AST000452;5/9/2020;245.9;Retail_Partner;SMB;6;17.45;4.5
AST000454;21/7/2020;179.36;Auction;Enterprise;3;16.33;4.5
AST000455;24/1/2023;291.61;Online_Marketplace;Enterprise;6;20.52;5
AST000456;25/10/2024;565.11;Export;Education;12;23.27;5
AST000457;24/1/2021;413.1;Direct_B2B;SMB;12;20.98;4.5
AST000459;27/11/2023;635.53;Online_Marketplace;Government;6;21.51;4.8
AST000460;27/6/2023;399.41;Retail_Partner;SMB;12;14.61;5
AST000461;6/9/2022;510.32;Direct_B2B;Enterprise;12;12.44;5
AST000462;13/11/2022;568.74;Online_Marketplace;Enterprise;6;15.61;4.9
AST000463;10/1/2021;258.46;Auction;Enterprise;3;21.72;5
AST000467;29/6/2023;2123.21;Online_Marketplace;Government;6;58.35;5
AST000469;12/10/2023;308.35;Retail_Partner;SMB;12;9.15;5
AST000470;2/11/2022;709.3;Export;SMB;12;13.46;5
AST000471;25/11/2023;532.95;Auction;SMB;6;13.69;4.7
AST000472;25/5/2021;224.72;Direct_B2B;SMB;6;26.58;4.8
AST000473;6/8/2023;674.35;Online_Marketplace;Enterprise;6;13.19;4.7
AST000475;15/10/2021;372.63;Retail_Partner;SMB;6;13.75;4.4
AST000476;7/4/2022;137.58;Direct_B2B;Education;12;17.76;4.9
AST000477;18/7/2021;463.73;Export;SMB;6;13.77;4.8
AST000479;4/7/2024;322.16;Direct_B2B;SMB;12;8.11;5
AST000481;15/10/2021;357.63;Auction;Enterprise;6;24.3;5
AST000488;28/8/2024;622.16;Direct_B2B;Education;12;21.19;4.9
AST000489;2/11/2021;455.36;Online_Marketplace;SMB;6;15.69;4.2
AST000490;1/6/2022;459.2;Auction;SMB;6;28.2;4.7
AST000491;21/9/2020;240.56;Export;Enterprise;6;15.43;5
AST000492;21/12/2022;997.73;Retail_Partner;Education;12;14.9;5
AST000494;15/8/2022;233.19;Direct_B2B;Government;12;20.95;5
AST000497;4/5/2024;2155.54;Direct_B2B;Enterprise;12;54.49;4.9
AST000500;13/6/2024;713.82;Online_Marketplace;Education;6;16.74;4.7
AST000502;10/8/2023;594.38;Retail_Partner;Education;12;22.25;5
AST000504;19/7/2022;2596.82;Online_Marketplace;SMB;6;40.25;5
AST000508;2/2/2020;343.01;Direct_B2B;Enterprise;6;17.56;4.9
AST000510;22/5/2021;368.42;Direct_B2B;Enterprise;6;16.53;4.5
AST000513;13/7/2023;607.61;Retail_Partner;Enterprise;12;13.98;5
AST000514;5/6/2021;357.6;Online_Marketplace;Enterprise;6;17.82;4.8
AST000516;31/1/2024;812.36;Retail_Partner;Enterprise;12;28.03;4.8
AST000517;11/10/2023;495;Retail_Partner;Enterprise;12;7.3;5
AST000518;2/10/2023;468.66;Online_Marketplace;SMB;6;24.91;4.6
AST000519;16/3/2020;192.29;Retail_Partner;Enterprise;6;29.87;5
AST000520;31/1/2024;698.88;Retail_Partner;Enterprise;12;15.46;5
AST000523;1/9/2020;395.1;Direct_B2B;SMB;6;13.37;4.6
AST000525;22/8/2023;2493.61;Export;Education;12;55.62;5
AST000526;19/9/2021;480.47;Retail_Partner;SMB;12;13.86;4.9
AST000527;18/8/2023;2777.76;Retail_Partner;Enterprise;12;50.16;4.8
AST000530;11/12/2023;449.21;Direct_B2B;SMB;12;25.42;5
AST000531;30/9/2020;325.91;Retail_Partner;Enterprise;6;14.4;4.2
AST000532;22/6/2022;229.81;Direct_B2B;Enterprise;6;8.7;4.8
AST000533;17/7/2024;376.1;Export;Enterprise;12;7.79;5
AST000535;24/9/2023;586.24;Online_Marketplace;Enterprise;6;17.23;4.9
AST000536;20/11/2021;2506.05;Online_Marketplace;SMB;6;43.22;5
AST000537;31/12/2020;389.99;Retail_Partner;Enterprise;6;13.76;4.6
AST000538;26/7/2020;92.99;Online_Marketplace;Enterprise;3;20.06;4.7
AST000540;20/2/2024;718.54;Auction;Enterprise;6;13.75;4.9
AST000542;6/6/2022;233.12;Retail_Partner;Enterprise;12;9.59;5
AST000544;14/6/2024;299.04;Online_Marketplace;Enterprise;6;11.39;5
AST000546;13/3/2024;524.89;Auction;Enterprise;6;15.23;4.8
AST000547;16/5/2020;249.83;Online_Marketplace;SMB;3;15.53;4
AST000548;1/9/2023;454.25;Retail_Partner;Enterprise;12;14.89;4.7
AST000550;18/1/2024;399.73;Direct_B2B;Education;12;24.31;5
AST000551;3/6/2022;382.92;Direct_B2B;Enterprise;12;13.48;5
AST000553;10/5/2022;181.35;Export;Enterprise;12;23.09;5
AST000555;25/5/2022;449.17;Online_Marketplace;Enterprise;6;27.96;5
AST000556;7/2/2023;404.85;Retail_Partner;Enterprise;12;20.98;5
AST000557;22/11/2023;436.04;Direct_B2B;Enterprise;12;28.33;5
AST000562;16/4/2020;361.71;Auction;SMB;3;17.18;4.3
AST000563;8/9/2023;712.01;Retail_Partner;SMB;12;16.83;4.6
AST000564;4/9/2022;603.95;Direct_B2B;Enterprise;6;16.89;5
AST000566;18/3/2023;555.25;Direct_B2B;Enterprise;12;17.9;5
AST000567;24/7/2023;535.03;Retail_Partner;Government;12;17.3;5
AST000568;17/2/2022;400.57;Retail_Partner;Enterprise;6;13.05;4.8
AST000569;25/8/2022;579.16;Online_Marketplace;Government;3;17.72;5
AST000572;14/8/2021;240.05;Export;Enterprise;6;17.57;5
AST000573;29/10/2021;381.93;Direct_B2B;SMB;12;17.03;4.5
AST000574;2/10/2023;378.41;Auction;Enterprise;6;20.59;5
AST000575;28/9/2021;200.32;Online_Marketplace;Enterprise;3;9.7;5
AST000577;24/3/2021;1929.49;Direct_B2B;Enterprise;12;44.53;5
AST000578;16/9/2024;255.09;Direct_B2B;Government;12;16.6;5
AST000579;23/6/2022;372.37;Direct_B2B;Consumer;6;12.37;4.5
AST000581;4/1/2022;383.2;Retail_Partner;SMB;12;25.17;4.9
AST000582;22/9/2021;145.74;Direct_B2B;Enterprise;6;11.99;4.8
AST000583;22/1/2024;884.51;Direct_B2B;Consumer;12;14.84;4.5
AST000584;26/6/2022;2036.87;Retail_Partner;Consumer;12;58.33;5
AST000586;20/8/2023;300.29;Retail_Partner;Government;12;11.66;4.7
AST000587;7/5/2022;527.17;Retail_Partner;Enterprise;12;25.35;5
AST000588;12/10/2020;1503.7;Online_Marketplace;Consumer;6;46.82;4.8
AST000589;7/7/2020;333.77;Direct_B2B;Enterprise;6;17.82;4.2
AST000591;21/8/2023;2179.74;Retail_Partner;Enterprise;12;44.05;5
AST000592;2/3/2023;695.88;Online_Marketplace;Education;6;13.73;4.9
AST000595;11/7/2021;317.55;Retail_Partner;Education;6;13.03;4.5
AST000596;4/12/2022;380.86;Auction;SMB;6;6.85;4.8
AST000597;30/9/2020;182.81;Online_Marketplace;Government;3;17.97;4.1
AST000598;27/9/2023;229.26;Retail_Partner;SMB;12;23.4;4.7
AST000599;21/1/2022;363.17;Online_Marketplace;SMB;3;13.78;4.6
AST000601;16/7/2022;1265.51;Online_Marketplace;Enterprise;6;54.48;5
AST000603;24/1/2021;154.17;Online_Marketplace;SMB;3;11.71;4.2
AST000604;8/11/2023;3820.18;Direct_B2B;Enterprise;12;54.79;5
AST000606;11/8/2024;696.57;Direct_B2B;Education;12;21.46;5
AST000607;5/11/2021;310.97;Online_Marketplace;SMB;3;27.02;4.9
AST000609;18/12/2020;333.18;Retail_Partner;Enterprise;6;15.27;4.5
AST000611;7/11/2021;1602.12;Online_Marketplace;Enterprise;3;55.56;5
AST000613;20/2/2021;338.09;Retail_Partner;Enterprise;6;13.01;5
AST000614;5/10/2024;704.1;Auction;Enterprise;6;17.82;5
AST000615;4/8/2024;398.7;Online_Marketplace;Government;6;8.18;5
AST000616;5/8/2023;503.41;Export;SMB;6;17.81;4.8
AST000617;30/7/2022;442.46;Online_Marketplace;Enterprise;6;20.52;4.9
AST000618;26/11/2022;2255.45;Retail_Partner;Enterprise;12;40.98;5
AST000619;18/3/2020;318.17;Online_Marketplace;SMB;3;16.86;4.7
AST000620;17/7/2023;277.25;Direct_B2B;SMB;12;9.5;5
AST000622;25/10/2023;419.5;Direct_B2B;Education;12;22.43;4.6
