asset_id,equipment_type,region,carbon_savings_kg,lifecycle_extension_years,refurbishment_success
ITAD-000223,Laptop,North America,195.88,3.07,True
ITAD-000224,Monitor,Asia Pacific,245.6,1.6,True
ITAD-000225,Smartphone,Asia Pacific,42.16,1.64,True
ITAD-000226,Printer,Asia Pacific,210.37,0.85,False
ITAD-000227,Tablet,North America,45.87,0.87,False
ITAD-000228,Tablet,North America,96.23,1.52,True
ITAD-000229,Desktop,Europe,65.49,0.0,False
ITAD-000230,Monitor,Europe,240.74,1.64,True
ITAD-000231,Server,Asia Pacific,985.35,2.55,True
ITAD-000232,Tablet,North America,79.2,2.27,True
ITAD-000233,Laptop,North America,241.11,2.02,True
ITAD-000234,Monitor,North America,215.19,1.53,True
ITAD-000235,Monitor,Europe,230.15,2.23,False
ITAD-000236,Tablet,Middle East & Africa,9.67,0.0,False
ITAD-000237,Printer,Latin America,222.14,2.39,True
ITAD-000238,Tablet,Europe,77.62,0.91,False
ITAD-000239,Server,Europe,1108.74,2.24,False
ITAD-000240,Server,Europe,845.53,3.33,True
ITAD-000241,Smartphone,North America,60.55,2.85,True
ITAD-000242,Printer,Europe,224.87,2.98,True
ITAD-000243,Server,North America,693.02,2.28,True
ITAD-000244,Printer,Asia Pacific,168.48,2.16,True
ITAD-000245,Printer,North America,178.88,2.52,True
ITAD-000246,Laptop,Latin America,286.92,3.01,True
ITAD-000247,Laptop,North America,321.28,1.91,True
ITAD-000248,Smartphone,Asia Pacific,67.59,2.62,True
ITAD-000249,Monitor,Europe,151.5,2.82,True
ITAD-000250,Printer,Asia Pacific,239.11,1.78,True
ITAD-000251,Server,Asia Pacific,1160.83,2.66,True
ITAD-000252,Desktop,Europe,443.13,2.99,True
ITAD-000253,Desktop,Europe,333.92,2.56,True
ITAD-000254,Tablet,Middle East & Africa,54.7,2.43,True
ITAD-000255,Tablet,Asia Pacific,17.96,0.0,False
ITAD-000256,Monitor,Middle East & Africa,120.26,1.66,True
ITAD-000257,Smartphone,Europe,46.45,3.48,True
ITAD-000258,Desktop,North America,509.07,2.47,False
ITAD-000259,Laptop,Europe,277.43,3.45,True
ITAD-000260,Laptop,North America,286.67,3.18,True
ITAD-000261,Smartphone,Latin America,8.78,0.0,False
ITAD-000262,Monitor,Europe,209.08,1.92,True
ITAD-000263,Monitor,North America,235.54,1.09,False
ITAD-000264,Tablet,North America,10.32,0.0,False
ITAD-000265,Printer,Asia Pacific,154.89,1.76,True
ITAD-000266,Laptop,Middle East & Africa,220.67,1.51,True
ITAD-000267,Laptop,Europe,336.45,2.83,True
ITAD-000268,Printer,Middle East & Africa,213.38,3.18,True
ITAD-000269,Monitor,Asia Pacific,221.37,1.77,False
ITAD-000270,Server,Asia Pacific,1136.31,2.07,True
ITAD-000271,Printer,Europe,179.66,2.85,True
ITAD-000272,Smartphone,Europe,30.38,2.61,True
ITAD-000273,Desktop,Europe,459.09,1.01,False
ITAD-000274,Desktop,North America,397.22,2.5,True
ITAD-000275,Smartphone,North America,22.52,2.72,True
ITAD-000276,Smartphone,Europe,60.68,1.34,False
ITAD-000277,Desktop,Europe,296.05,2.77,True
ITAD-000278,Smartphone,Asia Pacific,11.67,0.0,False
ITAD-000279,Laptop,Europe,329.03,0.69,False
ITAD-000280,Printer,North America,275.72,3.01,True
ITAD-000281,Monitor,Latin America,169.86,3.01,True
ITAD-000282,Printer,Asia Pacific,151.4,2.86,True
ITAD-000283,Smartphone,North America,64.51,1.32,False
ITAD-000284,Printer,Europe,252.17,1.95,True
ITAD-000285,Desktop,Asia Pacific,457.5,3.47,True
ITAD-000286,Printer,North America,260.42,0.64,False
ITAD-000287,Desktop,Europe,388.57,2.46,True
ITAD-000288,Smartphone,Asia Pacific,20.52,2.34,True
ITAD-000289,Printer,Middle East & Africa,149.83,2.73,True
ITAD-000290,Server,Latin America,1230.48,2.39,True
ITAD-000291,Smartphone,North America,61.85,1.06,False
ITAD-000292,Printer,North America,254.31,2.36,True
ITAD-000293,Monitor,North America,155.88,3.3,True
ITAD-000294,Monitor,Asia Pacific,171.53,1.76,True
ITAD-000295,Monitor,Middle East & Africa,181.37,3.33,True
ITAD-000296,Printer,North America,172.62,1.55,True
ITAD-000297,Tablet,North America,83.56,2.23,True
ITAD-000298,Desktop,Europe,323.1,1.94,True
ITAD-000299,Tablet,North America,93.94,3.02,True
ITAD-000300,Printer,Europe,223.0,2.86,True
ITAD-000301,Smartphone,North America,37.98,0.74,False
ITAD-000302,Laptop,North America,188.5,1.84,True
ITAD-000303,Tablet,Asia Pacific,82.09,1.0,False
ITAD-000304,Printer,North America,293.24,1.71,True
ITAD-000305,Desktop,Europe,346.26,3.04,True
ITAD-000306,Laptop,North America,226.66,2.46,True
ITAD-000307,Laptop,North America,321.37,1.87,False
ITAD-000308,Tablet,Latin America,73.35,2.9,True
ITAD-000309,Laptop,Asia Pacific,283.66,3.31,True
ITAD-000310,Tablet,Asia Pacific,62.87,2.01,True
ITAD-000311,Printer,Europe,151.69,3.16,True
ITAD-000312,Monitor,North America,139.62,2.76,True
ITAD-000313,Monitor,Europe,184.8,3.09,True
ITAD-000314,Server,North America,941.68,1.63,True
ITAD-000315,Desktop,North America,421.42,1.23,False
ITAD-000316,Monitor,Europe,166.13,2.45,False
ITAD-000317,Laptop,Asia Pacific,308.68,0.97,False
ITAD-000318,Smartphone,Middle East & Africa,36.45,2.82,True
ITAD-000319,Desktop,Latin America,370.83,2.18,True
ITAD-000320,Tablet,Europe,64.14,0.6,False
ITAD-000321,Monitor,North America,188.01,2.14,True
ITAD-000322,Smartphone,Asia Pacific,66.12,1.85,True
ITAD-000323,Smartphone,North America,18.01,1.73,True
ITAD-000324,Printer,North America,219.03,1.3,False
ITAD-000325,Printer,Europe,243.86,1.87,True
ITAD-000326,Tablet,North America,52.22,0.68,False
ITAD-000327,Printer,Latin America,136.78,2.61,True
ITAD-000328,Server,Europe,926.56,3.37,True
ITAD-000329,Desktop,Asia Pacific,353.57,3.03,True
ITAD-000330,Server,Europe,864.57,3.06,True
ITAD-000331,Laptop,Middle East & Africa,270.92,1.53,True
ITAD-000332,Server,Asia Pacific,872.9,2.54,True
ITAD-000333,Server,Latin America,877.69,2.69,True
ITAD-000334,Tablet,Asia Pacific,57.35,2.89,True
ITAD-000335,Tablet,North America,42.5,2.49,True
ITAD-000336,Smartphone,Europe,43.46,3.29,True
ITAD-000337,Tablet,Europe,61.63,1.83,True
ITAD-000338,Printer,North America,269.05,2.66,True
ITAD-000339,Tablet,North America,76.09,1.16,False
ITAD-000340,Tablet,North America,63.01,3.32,True
ITAD-000341,Printer,North America,268.47,3.43,True
ITAD-000342,Laptop,Europe,276.0,2.3,True
ITAD-000343,Laptop,Latin America,252.65,1.16,False
ITAD-000344,Server,Europe,711.99,2.0,False
ITAD-000345,Printer,Asia Pacific,158.52,2.91,True
ITAD-000346,Smartphone,North America,59.41,2.6,True
ITAD-000347,Server,Europe,747.65,2.72,True
ITAD-000348,Desktop,Asia Pacific,356.0,1.78,True
ITAD-000349,Tablet,Europe,16.74,0.0,False
ITAD-000350,Smartphone,Europe,4.76,0.0,False
ITAD-000351,Laptop,North America,168.55,2.25,True
ITAD-000352,Tablet,Europe,15.4,0.0,False
ITAD-000353,Desktop,North America,456.74,1.42,False
ITAD-000354,Desktop,North America,467.23,1.52,True
ITAD-000355,Desktop,North America,341.72,2.57,True
ITAD-000356,Printer,Asia Pacific,236.92,2.08,True
ITAD-000357,Smartphone,North America,53.37,2.07,True
ITAD-000358,Desktop,Latin America,292.83,2.52,True
ITAD-000359,Desktop,Asia Pacific,372.94,3.16,True
ITAD-000360,Laptop,Europe,331.08,2.2,True
ITAD-000361,Printer,Europe,161.22,3.38,True
ITAD-000362,Monitor,Europe,209.82,2.6,True
ITAD-000363,Laptop,Europe,248.01,3.1,True
ITAD-000364,Server,North America,709.56,1.9,True
ITAD-000365,Laptop,Latin America,262.7,2.57,True
ITAD-000366,Server,North America,1204.13,0.55,False
ITAD-000367,Server,Latin America,1221.18,1.85,False
ITAD-000368,Laptop,Asia Pacific,176.61,2.27,True
ITAD-000369,Printer,North America,174.82,3.43,True
ITAD-000370,Smartphone,Middle East & Africa,19.74,0.52,False
ITAD-000371,Tablet,Europe,80.53,1.64,True
ITAD-000372,Desktop,Europe,325.51,2.36,True
ITAD-000373,Printer,North America,283.39,2.11,True
ITAD-000374,Desktop,North America,73.67,0.0,False
ITAD-000375,Desktop,North America,293.45,2.0,True
ITAD-000376,Desktop,North America,341.99,2.62,True
ITAD-000377,Server,North America,1008.92,1.24,False
ITAD-000378,Desktop,Europe,469.48,1.73,True
ITAD-000379,Laptop,North America,313.48,0.76,False
ITAD-000380,Desktop,North America,493.84,3.24,True
ITAD-000381,Laptop,North America,324.75,1.61,True
ITAD-000382,Laptop,North America,294.85,2.57,True
ITAD-000383,Printer,Europe,302.83,2.75,True
ITAD-000384,Printer,Asia Pacific,228.91,1.58,True
ITAD-000385,Tablet,North America,43.02,1.57,False
ITAD-000386,Laptop,Europe,231.78,2.41,False
ITAD-000387,Laptop,Latin America,208.7,2.76,True
ITAD-000388,Tablet,North America,55.27,1.62,True
ITAD-000389,Desktop,North America,338.71,3.37,True
ITAD-000390,Smartphone,Middle East & Africa,60.83,2.41,True
ITAD-000391,Smartphone,Middle East & Africa,9.54,0.0,False
ITAD-000392,Printer,Asia Pacific,261.18,3.45,True
ITAD-000393,Laptop,Middle East & Africa,288.24,3.47,True
ITAD-000394,Server,North America,997.35,1.72,True
ITAD-000395,Smartphone,Latin America,65.9,2.52,True
ITAD-000396,Laptop,North America,34.64,0.0,False
ITAD-000397,Server,North America,671.33,2.02,True
ITAD-000398,Laptop,Latin America,217.96,1.68,True
ITAD-000399,Desktop,North America,405.93,2.18,True
ITAD-000400,Laptop,North America,315.81,1.99,True
ITAD-000401,Printer,North America,198.63,1.47,False
ITAD-000402,Tablet,Latin America,55.8,1.71,True
ITAD-000403,Laptop,Europe,312.59,2.26,True
ITAD-000404,Desktop,Asia Pacific,296.83,1.9,True
ITAD-000405,Tablet,North America,65.32,3.45,True
ITAD-000406,Server,Europe,1074.18,2.13,True
ITAD-000407,Laptop,Asia Pacific,43.74,0.0,False
ITAD-000408,Smartphone,Europe,19.61,1.35,False
ITAD-000409,Smartphone,North America,22.21,3.05,True
ITAD-000410,Server,Asia Pacific,686.54,2.37,True
ITAD-000411,Desktop,North America,475.27,2.37,True
ITAD-000412,Server,North America,1085.72,1.73,True
ITAD-000413,Tablet,Europe,81.43,1.5,False
ITAD-000414,Printer,North America,38.96,0.0,False
ITAD-000415,Server,Asia Pacific,834.71,3.33,True
ITAD-000416,Tablet,North America,48.6,0.51,False
ITAD-000417,Printer,Asia Pacific,57.94,0.0,False
ITAD-000418,Laptop,North America,267.43,1.87,True
ITAD-000419,Smartphone,Europe,30.09,3.18,True
ITAD-000420,Tablet,Europe,79.29,2.17,False
ITAD-000421,Printer,Europe,283.54,1.94,True
ITAD-000422,Desktop,Latin America,467.36,2.49,True
ITAD-000423,Tablet,North America,94.97,1.71,True
ITAD-000424,Server,Asia Pacific,714.51,1.76,True
ITAD-000425,Server,North America,688.21,1.54,True
ITAD-000426,Tablet,North America,55.38,1.76,True
ITAD-000427,Monitor,Asia Pacific,172.4,3.38,True
ITAD-000428,Desktop,North America,293.22,2.25,True
ITAD-000429,Laptop,Latin America,207.95,1.67,True
ITAD-000430,Tablet,Middle East & Africa,46.68,2.18,True
ITAD-000431,Laptop,North America,249.35,1.63,True
ITAD-000432,Monitor,Europe,166.22,2.28,True
ITAD-000433,Server,Asia Pacific,764.94,2.97,True
ITAD-000434,Desktop,Asia Pacific,382.56,1.51,True
ITAD-000435,Laptop,North America,265.56,2.7,True
ITAD-000436,Monitor,North America,244.39,2.2,False
ITAD-000437,Desktop,North America,431.7,1.04,False
ITAD-000438,Desktop,North America,84.49,0.0,False
ITAD-000439,Desktop,Asia Pacific,309.33,2.8,True
ITAD-000440,Smartphone,North America,57.62,3.19,True
ITAD-000441,Server,Asia Pacific,922.72,2.47,False
ITAD-000442,Laptop,Europe,181.67,2.84,True
ITAD-000443,Desktop,Asia Pacific,308.1,0.65,False
ITAD-000444,Printer,Middle East & Africa,246.31,1.11,False
ITAD-000445,Desktop,North America,434.15,2.14,False
ITAD-000446,Printer,Asia Pacific,219.32,1.68,True
ITAD-000447,Tablet,Latin America,98.99,3.31,True
ITAD-000448,Tablet,Asia Pacific,47.68,2.51,True
ITAD-000449,Laptop,Europe,178.05,2.61,True
ITAD-000450,Smartphone,Asia Pacific,5.15,0.0,False
ITAD-000451,Monitor,Asia Pacific,206.34,2.16,True
ITAD-000452,Laptop,Asia Pacific,328.45,3.33,True
ITAD-000453,Smartphone,North America,28.95,0.62,False
ITAD-000454,Printer,Latin America,48.74,0.0,False
ITAD-000455,Desktop,Asia Pacific,404.31,2.83,True
ITAD-000456,Desktop,Asia Pacific,322.58,2.13,False
ITAD-000457,Desktop,North America,349.13,2.0,True
ITAD-000458,Server,North America,967.97,2.55,True
ITAD-000459,Server,North America,747.59,2.89,True
ITAD-000460,Desktop,Asia Pacific,82.09,0.0,False
ITAD-000461,Smartphone,Europe,57.57,2.91,True
ITAD-000462,Printer,North America,292.23,2.79,True
ITAD-000463,Monitor,North America,122.2,1.68,True
ITAD-000464,Printer,North America,176.51,2.42,True
ITAD-000465,Smartphone,Latin America,7.07,0.0,False
ITAD-000466,Server,North America,774.43,2.64,True
ITAD-000467,Smartphone,Middle East & Africa,35.65,1.54,True
ITAD-000468,Monitor,North America,189.19,2.09,False
ITAD-000469,Server,Asia Pacific,915.54,2.84,True
ITAD-000470,Monitor,North America,158.18,1.99,True
ITAD-000471,Monitor,Asia Pacific,240.65,3.34,True
ITAD-000472,Laptop,Europe,281.39,2.18,True
ITAD-000473,Smartphone,North America,54.66,2.06,True
ITAD-000474,Smartphone,Europe,39.33,2.6,True
ITAD-000475,Laptop,North America,189.4,2.12,True
ITAD-000476,Laptop,North America,233.08,3.07,True
ITAD-000477,Smartphone,Europe,10.87,0.0,False
ITAD-000478,Smartphone,North America,59.9,2.5,False
ITAD-000479,Printer,Europe,202.6,1.19,False
ITAD-000480,Desktop,North America,424.59,3.01,True
ITAD-000481,Smartphone,Europe,31.12,0.57,False
ITAD-000482,Laptop,North America,311.04,1.57,True
ITAD-000483,Server,Asia Pacific,1156.14,2.95,True
ITAD-000484,Desktop,North America,479.32,3.35,True
ITAD-000485,Laptop,Europe,254.12,1.13,False
ITAD-000486,Smartphone,Europe,65.56,1.98,True
ITAD-000487,Desktop,Europe,304.2,3.26,True
ITAD-000488,Smartphone,Latin America,9.02,0.0,False
ITAD-000489,Tablet,Asia Pacific,48.82,2.0,True
ITAD-000490,Laptop,North America,309.16,1.4,False
ITAD-000491,Printer,North America,282.65,1.73,True
ITAD-000492,Monitor,Asia Pacific,200.42,2.55,True
ITAD-000493,Laptop,Asia Pacific,38.03,0.0,False
ITAD-000494,Desktop,Europe,318.29,1.63,True
ITAD-000495,Desktop,Europe,346.23,2.79,True
ITAD-000496,Server,Asia Pacific,816.68,2.89,True
ITAD-000497,Printer,North America,268.0,2.22,True
ITAD-000498,Desktop,North America,337.22,2.18,True
ITAD-000499,Smartphone,North America,62.16,2.99,True
ITAD-000500,Desktop,Europe,432.4,2.92,True
ITAD-000501,Monitor,Asia Pacific,216.5,3.5,True
ITAD-000502,Desktop,North America,332.36,1.43,False
ITAD-000503,Tablet,Europe,90.07,1.81,True
ITAD-000504,Printer,Europe,51.06,0.0,False
