asset_id;intake_date;assessment_duration_hrs;refurb_start_date;refurb_completion_date;parts_cost;labor_hours;final_condition_score;refurb_success;certification_achieved
AST000068;22/9/2022;6.7;23/9/2022;23/9/2022;23.87;1;10;TRUE;R2
AST000069;4/4/2023;1.7;7/4/2023;7/4/2023;41.34;3.3;8.2;TRUE;R2
AST000070;8/10/2022;4.2;15/10/2022;15/10/2022;208.56;9.9;9.6;FALSE;
AST000071;16/6/2023;3.4;18/6/2023;18/6/2023;55.77;1.7;9.7;TRUE;R2
AST000075;17/7/2022;3.3;18/7/2022;18/7/2022;30.15;3.9;7.4;FALSE;
AST000076;2/4/2021;8;5/4/2021;5/4/2021;57.8;2;8.1;TRUE;ISO14001
AST000077;18/7/2022;2.5;27/7/2022;27/7/2022;42.82;4;8.5;TRUE;ISO14001
AST000078;24/8/2020;2.2;26/8/2020;27/8/2020;89.6;5.5;5.9;TRUE;R2
AST000079;16/9/2021;2.9;18/9/2021;19/9/2021;26.4;4.7;8.4;TRUE;R2
AST000081;10/2/2022;4.5;12/2/2022;12/2/2022;33.42;3.1;7.8;TRUE;R2
AST000082;11/3/2022;4.3;15/3/2022;15/3/2022;32.22;4.4;9.4;FALSE;
AST000083;16/7/2020;3.1;20/7/2020;21/7/2020;231.12;9.3;7.9;FALSE;
AST000084;4/12/2023;1.5;8/12/2023;8/12/2023;30.76;3.4;10;TRUE;R2
AST000085;25/2/2021;1.3;7/3/2021;7/3/2021;17.3;2.6;9.8;TRUE;ISO14001
AST000086;5/1/2020;6.2;7/1/2020;7/1/2020;35.2;5.3;6.7;FALSE;
AST000087;24/10/2023;2.2;27/10/2023;27/10/2023;44.39;2.8;10;TRUE;ISO14001
AST000088;31/10/2021;3.8;1/11/2021;2/11/2021;30.47;2.6;8.2;TRUE;ISO14001
AST000089;8/2/2023;1.8;10/2/2023;11/2/2023;60.12;5.1;7.9;TRUE;R2
AST000090;12/3/2020;3.1;25/3/2020;25/3/2020;63.71;4;6.8;TRUE;None
AST000092;19/3/2023;2.7;21/3/2023;21/3/2023;14.07;1;9;TRUE;R2
AST000093;15/1/2023;3.7;20/1/2023;21/1/2023;21.37;2.6;7.8;TRUE;ISO14001
AST000094;12/8/2022;1.3;15/8/2022;15/8/2022;22.15;1;10;TRUE;e-Stewards
AST000095;1/11/2023;2.2;5/11/2023;5/11/2023;41.17;1.9;10;TRUE;ISO14001
AST000096;20/11/2023;5.1;30/11/2023;30/11/2023;36.45;1.2;10;TRUE;None
AST000097;5/3/2024;5.6;10/3/2024;10/3/2024;116.12;3.6;10;TRUE;ISO14001
AST000098;8/10/2020;1.9;10/10/2020;10/10/2020;89.91;5;7.7;FALSE;
AST000100;2/10/2023;6.1;3/10/2023;4/10/2023;36.52;6.3;9.2;TRUE;e-Stewards
AST000101;6/12/2021;3;11/12/2021;11/12/2021;39.64;3.8;7.3;TRUE;R2
AST000102;10/9/2020;2.4;14/9/2020;14/9/2020;64.05;6.6;5.6;TRUE;R2
AST000106;11/6/2022;5.4;16/6/2022;16/6/2022;64.3;3;8.4;TRUE;None
AST000107;27/7/2020;3.9;8/8/2020;8/8/2020;29.63;5.5;7.8;FALSE;
AST000109;17/7/2024;3;24/7/2024;24/7/2024;33.85;1.5;10;TRUE;None
AST000110;15/4/2021;1.8;16/4/2021;17/4/2021;82.19;6.3;7.4;TRUE;e-Stewards
AST000111;8/9/2022;2.9;10/9/2022;10/9/2022;71.93;3.4;6.9;TRUE;R2
AST000114;6/8/2021;5.3;13/8/2021;13/8/2021;194.32;10.5;7.6;TRUE;R2
AST000116;5/1/2021;2.2;9/1/2021;9/1/2021;39.28;6.9;5.9;TRUE;ISO14001
AST000118;23/5/2024;6.9;25/5/2024;25/5/2024;33.64;1.8;10;TRUE;R2
AST000119;1/7/2021;3.6;3/7/2021;3/7/2021;32.86;1;10;TRUE;e-Stewards
AST000120;23/7/2021;6.3;28/7/2021;28/7/2021;21.52;1.8;9.4;TRUE;R2
AST000121;5/7/2020;2.4;16/7/2020;16/7/2020;40.53;4.2;9.3;TRUE;e-Stewards
AST000122;12/10/2022;3.2;19/10/2022;20/10/2022;33.24;4.4;9.9;TRUE;R2
AST000123;23/6/2023;4.7;24/6/2023;24/6/2023;40.15;3.2;9.8;TRUE;ISO14001
AST000124;12/5/2023;1.3;18/5/2023;19/5/2023;30.85;3;10;TRUE;e-Stewards
AST000126;4/3/2020;3.8;5/3/2020;5/3/2020;67.46;5.5;6.3;FALSE;
AST000127;18/2/2020;2.7;23/2/2020;23/2/2020;48.61;3.2;5.6;TRUE;ISO14001
AST000128;23/3/2024;4.8;28/3/2024;28/3/2024;38.31;2.8;10;TRUE;None
AST000130;30/12/2020;3;1/1/2021;1/1/2021;57.55;3.2;8.2;TRUE;R2
AST000131;31/5/2020;8;4/6/2020;4/6/2020;56.95;4;8;TRUE;None
AST000133;15/6/2024;5;17/6/2024;18/6/2024;32.29;2.5;10;TRUE;R2
AST000135;15/12/2020;3.3;19/12/2020;19/12/2020;24.96;3.5;8.7;FALSE;
AST000136;10/7/2022;6.5;12/7/2022;12/7/2022;35.88;3.2;9.2;TRUE;R2
AST000137;7/5/2022;8;9/5/2022;9/5/2022;58.14;4.3;8;TRUE;ISO14001
AST000138;17/1/2020;2.3;19/1/2020;20/1/2020;64.07;8;5.7;TRUE;R2
AST000139;14/12/2023;1.8;21/12/2023;21/12/2023;46.24;3.2;10;TRUE;None
AST000140;6/4/2024;1.7;11/4/2024;11/4/2024;42.38;4.2;9.6;FALSE;
AST000144;7/11/2021;1.5;9/11/2021;9/11/2021;40.1;3;8.4;TRUE;R2
AST000145;11/5/2024;7;15/5/2024;15/5/2024;11.39;2.8;10;TRUE;ISO14001
AST000146;14/2/2021;3;20/2/2021;21/2/2021;165.82;18.8;7.8;TRUE;R2
AST000148;30/8/2024;3.6;4/9/2024;4/9/2024;20.33;1;9.6;TRUE;R2
AST000149;11/3/2023;4;15/3/2023;15/3/2023;63.43;4.4;9.8;FALSE;
AST000150;8/10/2022;5.2;16/10/2022;17/10/2022;52.63;4.3;8.4;TRUE;e-Stewards
AST000153;22/5/2023;8;24/5/2023;24/5/2023;87.53;10.4;9.3;TRUE;None
AST000154;21/9/2022;2.8;24/9/2022;24/9/2022;17.58;2.5;10;TRUE;R2
AST000155;4/6/2022;1.2;6/6/2022;6/6/2022;72.84;4;8.5;TRUE;ISO14001
AST000156;8/10/2021;1.6;9/10/2021;9/10/2021;19.19;3.3;7.6;TRUE;e-Stewards
AST000157;21/12/2020;3.8;23/12/2020;23/12/2020;68.53;6.7;4.7;TRUE;None
AST000159;16/10/2023;2.2;18/10/2023;18/10/2023;23.72;1;10;FALSE;
AST000160;21/12/2021;8;22/12/2021;22/12/2021;59.23;6.9;5;TRUE;ISO14001
AST000161;2/7/2021;2.3;3/7/2021;4/7/2021;55.21;6.4;8;TRUE;R2
AST000162;19/3/2022;2.1;24/3/2022;25/3/2022;26.3;3.2;8.5;TRUE;R2
AST000163;9/10/2023;1.5;12/10/2023;12/10/2023;33.8;1;10;TRUE;e-Stewards
AST000164;1/6/2021;1.8;2/6/2021;2/6/2021;23.45;1;9.3;TRUE;e-Stewards
AST000165;1/2/2022;2.2;3/2/2022;3/2/2022;41.65;3.6;7.2;TRUE;R2
AST000166;14/10/2020;3.8;16/10/2020;16/10/2020;61.31;3.5;7.8;FALSE;
AST000167;16/11/2020;2.3;25/11/2020;25/11/2020;221.56;9.9;9.2;TRUE;R2
AST000169;4/4/2022;4.9;7/4/2022;7/4/2022;24.09;2.9;7.8;FALSE;
AST000170;29/8/2021;2.1;3/9/2021;3/9/2021;38.04;4.1;8.1;FALSE;
AST000171;1/2/2020;4;3/2/2020;3/2/2020;38.35;4.1;6.1;FALSE;
AST000172;8/10/2023;2.1;9/10/2023;9/10/2023;29.32;1;10;TRUE;R2
AST000173;17/9/2022;2;26/9/2022;26/9/2022;26.23;1;10;TRUE;ISO14001
AST000174;23/6/2022;4.5;27/6/2022;27/6/2022;25.65;2.4;9.2;TRUE;R2
AST000175;24/3/2021;2.2;5/4/2021;6/4/2021;349.81;17.3;6.2;TRUE;R2
AST000176;20/7/2022;5.7;25/7/2022;25/7/2022;29.32;3.3;8.6;TRUE;R2
AST000177;13/4/2023;1.6;27/4/2023;27/4/2023;65.97;5.5;9.6;FALSE;
AST000178;12/3/2022;5.9;16/3/2022;17/3/2022;55.76;3.7;8.1;FALSE;
AST000179;28/12/2021;1.4;30/12/2021;30/12/2021;45.03;2.8;9.9;TRUE;e-Stewards
AST000180;21/10/2021;2.4;22/10/2021;22/10/2021;21.31;1;10;TRUE;None
AST000181;7/1/2020;4;10/1/2020;10/1/2020;36.39;3.1;6.7;TRUE;ISO14001
AST000182;25/1/2021;2.1;28/1/2021;28/1/2021;58.63;2;6.7;TRUE;R2
AST000183;17/7/2020;2.2;18/7/2020;18/7/2020;46.1;6.4;6.3;TRUE;e-Stewards
AST000184;2/12/2021;2.9;4/12/2021;4/12/2021;37.59;5.8;8.5;TRUE;e-Stewards
AST000185;14/8/2024;2.7;20/8/2024;20/8/2024;106.99;6.8;10;FALSE;
AST000186;9/10/2023;2.5;12/10/2023;12/10/2023;18.49;2.1;10;TRUE;e-Stewards
AST000187;19/12/2022;4.8;21/12/2022;21/12/2022;41.14;3.3;7.2;TRUE;ISO14001
AST000188;17/11/2022;3.4;26/11/2022;26/11/2022;90.9;9.4;9.4;FALSE;
AST000189;27/3/2022;4.9;30/3/2022;30/3/2022;30.29;2.4;10;TRUE;None
AST000190;5/7/2022;6.4;10/7/2022;10/7/2022;87.92;6.6;6.8;TRUE;R2
AST000191;3/8/2022;5.5;5/8/2022;6/8/2022;26.56;2.6;10;TRUE;R2
AST000192;22/3/2022;5.8;24/3/2022;24/3/2022;25.14;2.3;9.8;TRUE;R2
AST000193;18/8/2024;2.1;27/8/2024;27/8/2024;96.7;6.8;10;TRUE;None
AST000194;14/6/2021;3;19/6/2021;19/6/2021;29.39;2;7.3;TRUE;ISO14001
AST000195;19/5/2021;5.4;23/5/2021;23/5/2021;32.92;1;10;TRUE;e-Stewards
AST000197;15/2/2022;5.6;19/2/2022;19/2/2022;56.7;3.1;8.3;TRUE;ISO14001
AST000199;21/8/2022;2.6;22/8/2022;22/8/2022;26.15;4.4;9;TRUE;e-Stewards
AST000200;23/6/2023;3.1;1/7/2023;1/7/2023;33.06;3.6;10;FALSE;
AST000201;9/4/2024;3;14/4/2024;14/4/2024;30.66;2.3;10;TRUE;ISO14001
AST000202;30/4/2022;3.5;4/5/2022;4/5/2022;46.25;3.1;8.9;FALSE;
AST000203;15/6/2022;1.4;16/6/2022;16/6/2022;45.01;3.2;10;TRUE;e-Stewards
AST000204;28/4/2023;5.4;1/5/2023;1/5/2023;45.76;3.6;9.2;FALSE;
AST000205;2/2/2022;2.9;6/2/2022;6/2/2022;63.48;3;7.6;TRUE;R2
AST000208;27/6/2022;1.6;1/7/2022;1/7/2022;97.37;8.6;9.1;TRUE;R2
AST000209;4/12/2021;4.7;5/12/2021;6/12/2021;143.05;10.3;9.7;TRUE;ISO14001
AST000213;15/4/2024;4.2;22/4/2024;22/4/2024;12.09;1;10;FALSE;
AST000214;16/4/2023;1.9;17/4/2023;17/4/2023;127.45;4.5;10;TRUE;e-Stewards
AST000215;7/1/2024;5.8;10/1/2024;10/1/2024;87.65;10.3;9.5;TRUE;R2
AST000216;2/11/2021;2.7;5/11/2021;5/11/2021;51.56;1.2;10;TRUE;ISO14001
AST000217;9/1/2020;7.9;11/1/2020;11/1/2020;89.57;7.1;6.7;TRUE;e-Stewards
AST000219;16/6/2020;4.6;18/6/2020;18/6/2020;27.18;3.3;7.2;FALSE;
AST000220;7/9/2021;6;9/9/2021;9/9/2021;43.64;3.2;8.9;TRUE;R2
AST000222;9/9/2022;3;14/9/2022;14/9/2022;138.66;10.8;8;TRUE;R2
AST000223;2/2/2022;3.6;4/2/2022;4/2/2022;134.97;4.2;10;FALSE;
AST000224;21/5/2023;1.4;25/5/2023;25/5/2023;64.22;3.4;9.7;TRUE;R2
AST000226;11/7/2022;1.9;14/7/2022;14/7/2022;14.3;1.8;9.9;TRUE;R2
AST000227;23/12/2023;3.1;30/12/2023;30/12/2023;39.97;4;10;TRUE;R2
AST000228;12/8/2024;6.6;13/8/2024;14/8/2024;17.89;3;10;FALSE;
AST000230;23/1/2024;4.2;26/1/2024;26/1/2024;33.01;5.1;10;TRUE;ISO14001
AST000231;26/12/2023;2.1;31/12/2023;31/12/2023;14.11;1;10;TRUE;ISO14001
AST000232;25/5/2023;1.7;29/5/2023;29/5/2023;31.04;2.6;10;TRUE;None
AST000233;25/4/2020;6.3;4/5/2020;4/5/2020;58.67;7.9;6.6;TRUE;ISO14001
AST000234;20/8/2022;3.6;26/8/2022;26/8/2022;21.82;5.3;9.6;TRUE;R2
AST000235;8/12/2021;8;12/12/2021;12/12/2021;23.8;3.8;8.8;TRUE;e-Stewards
AST000239;31/3/2023;2.6;2/4/2023;2/4/2023;43.46;3.6;9.6;TRUE;ISO14001
AST000240;26/9/2023;3.9;10/10/2023;10/10/2023;39.73;1.6;10;FALSE;
AST000241;13/9/2021;3.2;15/9/2021;15/9/2021;30.97;2;10;FALSE;
AST000242;26/10/2023;4.6;28/10/2023;28/10/2023;31.42;2.5;10;TRUE;None
AST000243;22/5/2023;2.3;24/5/2023;24/5/2023;21.51;2.5;10;TRUE;R2
AST000244;18/9/2023;2.4;2/10/2023;2/10/2023;23.35;1.9;9.4;TRUE;None
AST000245;23/5/2022;1.7;24/5/2022;24/5/2022;31.24;1.4;9.4;TRUE;R2
AST000246;10/2/2021;2.3;12/2/2021;12/2/2021;64.86;5.1;8.5;TRUE;R2
AST000247;27/8/2020;6.3;31/8/2020;31/8/2020;16.08;1.4;7.9;FALSE;
AST000248;21/1/2021;5;23/1/2021;23/1/2021;50.07;6.6;7.1;FALSE;
AST000249;29/4/2023;7;1/5/2023;1/5/2023;170.59;7.9;8.4;FALSE;
AST000250;23/7/2023;1.6;26/7/2023;26/7/2023;49.67;3.3;10;FALSE;
AST000251;18/7/2021;3.4;23/7/2021;23/7/2021;33.56;4.6;8.9;TRUE;R2
AST000252;17/5/2021;6.6;18/5/2021;18/5/2021;43.78;4.5;7.8;FALSE;
AST000253;27/11/2023;3.5;28/11/2023;29/11/2023;13.27;2.7;9.9;TRUE;R2
AST000254;11/6/2022;5.8;15/6/2022;16/6/2022;55.3;5.9;7.6;TRUE;e-Stewards
AST000255;10/9/2020;1.9;13/9/2020;13/9/2020;54.27;3.9;6.1;TRUE;R2
AST000256;28/2/2020;2.1;4/3/2020;5/3/2020;150.12;18.6;7.6;FALSE;
AST000257;10/4/2023;6.9;17/4/2023;17/4/2023;16.19;3.6;8;TRUE;R2
AST000258;20/7/2021;5.9;26/7/2021;26/7/2021;36.46;4.8;8.2;TRUE;ISO14001
AST000259;15/8/2024;5;17/8/2024;17/8/2024;24.17;1;10;TRUE;e-Stewards
AST000261;16/8/2021;7.1;24/8/2021;24/8/2021;49.24;4.6;8.4;FALSE;
AST000262;14/6/2022;5.8;17/6/2022;17/6/2022;26.69;1.5;6.2;TRUE;R2
AST000263;20/6/2021;4.4;22/6/2021;23/6/2021;69.24;4.4;6.1;TRUE;R2
AST000264;16/5/2023;8;19/5/2023;19/5/2023;45.37;3.2;10;TRUE;R2
AST000266;19/3/2021;5.8;22/3/2021;22/3/2021;55.67;4.5;7.8;TRUE;R2
AST000267;20/2/2021;3;24/2/2021;24/2/2021;66.23;2.4;7.5;TRUE;R2
AST000268;27/9/2024;1.7;30/9/2024;30/9/2024;25.73;1;10;TRUE;ISO14001
AST000269;11/4/2021;3.3;15/4/2021;15/4/2021;53.35;5.9;7.7;TRUE;e-Stewards
AST000270;10/5/2024;2;13/5/2024;13/5/2024;172.27;10.4;10;FALSE;
AST000271;31/1/2022;2.6;4/2/2022;4/2/2022;54.66;3.9;8.3;TRUE;ISO14001
AST000272;3/9/2021;1.6;9/9/2021;9/9/2021;13.44;1;10;TRUE;R2
AST000273;5/4/2024;2;7/4/2024;7/4/2024;137.86;4.7;10;FALSE;
AST000274;21/3/2024;4.4;1/4/2024;1/4/2024;17.51;2.9;10;TRUE;e-Stewards
AST000277;27/8/2022;6.1;29/8/2022;30/8/2022;203.5;6;10;FALSE;
AST000278;24/2/2021;1.5;27/2/2021;28/2/2021;37.45;4;8.8;TRUE;R2
AST000279;7/10/2021;4.1;12/10/2021;13/10/2021;11.21;2.7;9;TRUE;R2
AST000281;27/8/2024;4.5;28/8/2024;28/8/2024;37.23;2.5;9.4;TRUE;e-Stewards
AST000282;23/6/2024;3.5;24/6/2024;24/6/2024;15.74;1.9;10;TRUE;None
AST000283;1/1/2021;3.3;4/1/2021;4/1/2021;34.27;3.2;8;TRUE;R2
AST000284;29/9/2021;4.9;30/9/2021;1/10/2021;27.39;5;7.1;TRUE;R2
AST000285;21/3/2020;4.4;23/3/2020;23/3/2020;78.4;6.4;5.3;FALSE;
AST000286;10/1/2024;1.5;12/1/2024;12/1/2024;61.02;2.2;10;TRUE;R2
AST000287;1/9/2022;3.3;7/9/2022;7/9/2022;64.38;2.3;8.9;FALSE;
AST000290;28/6/2023;6.6;5/7/2023;5/7/2023;25.5;3.4;9.4;TRUE;R2
AST000292;11/1/2020;3.6;17/1/2020;18/1/2020;79.25;5.1;5.9;TRUE;R2
AST000294;29/1/2023;1.5;3/2/2023;3/2/2023;29.75;3.6;8.3;TRUE;ISO14001
AST000295;28/7/2021;3.1;31/7/2021;31/7/2021;31.42;1;7.8;TRUE;ISO14001
AST000296;16/10/2022;3.3;18/10/2022;18/10/2022;34.3;6;9.1;TRUE;R2
AST000297;14/6/2023;8;16/6/2023;17/6/2023;23.16;1.2;9.6;FALSE;
AST000298;31/10/2020;4.5;2/11/2020;2/11/2020;18.53;1.8;9.7;TRUE;R2
AST000299;5/10/2021;2.4;10/10/2021;10/10/2021;41.84;1;7.9;TRUE;R2
AST000301;23/11/2022;8;25/11/2022;25/11/2022;41.53;1.6;9.6;TRUE;e-Stewards
AST000302;22/11/2020;6.3;25/11/2020;26/11/2020;215.42;9.1;9;TRUE;R2
AST000303;30/6/2020;4.3;1/7/2020;2/7/2020;133.29;18.1;6.7;TRUE;ISO14001
AST000304;8/7/2023;4.4;10/7/2023;10/7/2023;10.65;2.4;10;TRUE;R2
AST000305;13/6/2022;3.4;15/6/2022;16/6/2022;23.83;3.6;9.5;TRUE;R2
AST000306;17/8/2023;4.2;21/8/2023;21/8/2023;41.62;2.5;10;TRUE;ISO14001
AST000307;25/9/2024;4.9;27/9/2024;27/9/2024;41.02;1.5;10;FALSE;
AST000308;5/5/2023;3;7/5/2023;7/5/2023;63.93;1;8.8;TRUE;e-Stewards
AST000309;18/2/2021;2;22/2/2021;22/2/2021;45.4;3.8;7.5;TRUE;R2
AST000310;28/1/2022;2.8;1/2/2022;1/2/2022;31.45;4.3;7.5;TRUE;R2
AST000311;21/3/2023;2.3;29/3/2023;29/3/2023;65.05;3.9;9.7;FALSE;
AST000313;22/6/2022;1.5;25/6/2022;25/6/2022;93.53;6.5;10;FALSE;
AST000314;15/1/2021;2.3;22/1/2021;22/1/2021;56.35;3.9;8.1;TRUE;R2
AST000315;21/7/2024;1.9;22/7/2024;22/7/2024;20.65;2.4;10;TRUE;ISO14001
AST000316;17/7/2023;3;23/7/2023;23/7/2023;27;2.4;10;FALSE;
AST000317;7/12/2020;5.1;12/12/2020;12/12/2020;23.86;1.4;9.2;TRUE;R2
AST000318;25/3/2023;2.5;30/3/2023;30/3/2023;19.04;2.5;10;TRUE;e-Stewards
AST000319;19/8/2020;3.9;20/8/2020;20/8/2020;39.1;3.2;6;TRUE;ISO14001
AST000320;27/6/2022;2.4;28/6/2022;29/6/2022;18.71;2.8;10;TRUE;None
AST000321;17/6/2023;3;19/6/2023;19/6/2023;9.98;2;10;TRUE;R2
AST000323;7/5/2023;5.6;9/5/2023;9/5/2023;35.31;3.3;10;TRUE;None
AST000324;24/5/2023;4;29/5/2023;30/5/2023;18.08;4;9.7;TRUE;R2
AST000325;12/4/2024;1.4;18/4/2024;18/4/2024;80.37;6.9;10;FALSE;
AST000326;4/8/2023;2;11/8/2023;11/8/2023;189.09;7.8;10;FALSE;
AST000327;6/5/2023;1.7;7/5/2023;7/5/2023;41.1;2.1;10;TRUE;e-Stewards
AST000328;10/2/2024;3.4;13/2/2024;14/2/2024;87.32;14.5;8.4;TRUE;ISO14001
AST000329;14/1/2020;3.9;16/1/2020;16/1/2020;234.17;11.3;6.6;TRUE;e-Stewards
AST000330;24/4/2020;4.7;26/4/2020;26/4/2020;78.85;3.6;7.5;TRUE;e-Stewards
AST000331;26/8/2022;5.9;29/8/2022;29/8/2022;43.44;4.3;8.3;TRUE;e-Stewards
AST000332;28/7/2023;2;30/7/2023;30/7/2023;24.7;2.8;10;FALSE;
AST000333;23/7/2022;2.3;28/7/2022;28/7/2022;23.8;3.6;10;TRUE;R2
AST000334;28/9/2021;7.2;4/10/2021;4/10/2021;28.86;2.1;9;TRUE;ISO14001
AST000335;28/4/2023;8;2/5/2023;2/5/2023;40.99;4.2;9;TRUE;R2
AST000336;12/10/2020;2.8;25/10/2020;25/10/2020;22.57;4.9;9.7;TRUE;e-Stewards
AST000337;17/6/2024;2;20/6/2024;21/6/2024;144.54;5.8;10;TRUE;R2
AST000338;16/10/2023;5.6;20/10/2023;20/10/2023;34.46;2.2;10;TRUE;None
AST000339;19/9/2024;6.8;29/9/2024;29/9/2024;151.86;6.3;10;TRUE;ISO14001
AST000340;16/10/2022;2.9;18/10/2022;19/10/2022;28.18;1.2;8.4;FALSE;
AST000341;19/9/2022;1.5;28/9/2022;28/9/2022;17.64;3.4;10;TRUE;None
AST000342;16/9/2023;8;23/9/2023;23/9/2023;255.89;6;9.3;FALSE;
AST000343;24/5/2023;2.5;27/5/2023;27/5/2023;160.88;9.5;10;TRUE;R2
AST000344;5/11/2023;3.9;11/11/2023;11/11/2023;18.88;2.9;10;TRUE;e-Stewards
