asset_id;device_type;brand;model;acquisition_date;condition_score;original_price;age_months;refurb_potential;carbon_footprint_kg
AST000040;Laptop;Other;Other ThinkPad4432;24/8/2020;4.4;726.67;52.2;Medium;296.3
AST000041;Laptop;Dell;Dell Pavilion5374;9/12/2023;8.6;1118.51;12.7;High;296.5
AST000042;Laptop;Dell;Dell Pavilion2169;1/3/2024;9.3;1164.93;10;High;314.3
AST000043;Desktop;Lenovo;Lenovo Latitude3803;16/6/2021;6.5;517.68;42.5;Medium;240.6
AST000044;Tablet;Dell;Dell Latitude5010;21/1/2023;7.1;474.51;23.3;High;140.2
AST000045;Desktop;HP;HP Elite8573;2/8/2023;8.9;730.73;17;High;259.2
AST000046;Desktop;Samsung;Samsung Inspiron5422;27/12/2024;10;752.9;0.1;High;258.9
AST000047;Desktop;Dell;Dell Pavilion4598;12/10/2023;9.5;836.04;14.7;High;234.8
AST000048;Laptop;Dell;Dell Pavilion6313;3/1/2020;4.9;822.47;59.9;Medium;309.3
AST000049;Laptop;Apple;Apple 1916;7/5/2021;6.7;1126.45;43.8;Medium;322.6
AST000050;Server;Acer;Acer Elite1525;9/5/2021;6.9;3174.69;43.8;Medium;1218.2
AST000051;Server;Dell;Dell 6168;23/4/2022;9.8;3854.16;32.3;High;1104.7
AST000052;Tablet;Lenovo;Lenovo Inspiron5386;27/10/2021;5.3;346.08;38.1;Medium;136.6
AST000053;Tablet;Acer;Acer Pro4456;20/5/2024;10;438.76;7.4;High;143.8
AST000054;Laptop;Apple;Apple Latitude6155;25/9/2023;9.8;958.33;15.2;High;325.9
AST000055;Tablet;Other;Other Elite9179;11/1/2023;8.3;499.98;23.7;High;160.2
AST000056;Desktop;Dell;Dell Inspiron8517;2/6/2024;10;615.41;7;High;229.2
AST000057;Smartphone;HP;HP Elite5339;7/6/2023;6.8;665.96;18.8;Medium;80.9
AST000058;Desktop;ASUS;ASUS Elite5040;13/2/2022;7.5;611.88;34.6;High;253.6
AST000059;Server;Apple;Apple Pavilion9830;3/10/2023;9.7;4038.23;14.9;High;1148.6
AST000060;Monitor;Dell;Dell ThinkPad8019;13/12/2020;7.8;269.7;48.6;High;215.6
AST000061;Desktop;Other;Other Latitude7543;20/2/2022;7;762.14;34.3;High;259.8
AST000062;Laptop;Apple;Apple ThinkPad4593;16/11/2024;8.9;1346.63;1.5;High;297.3
AST000063;Desktop;HP;HP Elite9348;26/3/2022;7;660.52;33.2;High;238
AST000064;Desktop;Dell;Dell Inspiron2489;13/4/2022;7;751.3;32.6;Medium;233.1
AST000065;Tablet;Acer;Acer 1771;15/12/2023;8.7;377.55;12.5;High;147.3
AST000066;Server;Lenovo;Lenovo 2796;26/12/2022;9.7;3028.49;24.2;High;1312.8
AST000067;Monitor;Acer;Acer Elite3621;1/6/2022;8.9;349.79;31;High;216.5
AST000068;Desktop;Apple;Apple 7916;21/9/2022;10;810.44;27.3;High;231.5
AST000069;Tablet;Lenovo;Lenovo Latitude2040;2/4/2023;6.8;465.92;21;Medium;150.6
AST000070;Server;Lenovo;Lenovo Inspiron7252;5/10/2022;8.2;2656.46;26.9;High;1270
AST000071;Desktop;Lenovo;Lenovo Latitude8668;14/6/2023;7.8;558.87;18.6;High;225.7
AST000072;Laptop;Lenovo;Lenovo Latitude5119;2/6/2022;8.1;796.53;31;High;300.8
AST000073;Server;HP;HP Latitude1188;5/8/2024;9.5;4201.75;4.9;High;1264.5
AST000074;Laptop;Dell;Dell Pavilion2876;11/8/2021;8;935.28;40.7;High;290.5
AST000075;Desktop;HP;HP Pavilion9797;16/7/2022;6.9;656.41;29.5;Medium;269.8
AST000076;Desktop;Apple;Apple 5371;19/3/2021;7.5;906.81;45.4;High;242.3
AST000077;Laptop;Dell;Dell 6573;12/7/2022;7;934.08;29.7;Medium;311.4
AST000078;Laptop;Acer;Acer Pro5808;11/8/2020;4.4;934.68;52.7;Medium;273.7
AST000079;Laptop;Acer;Acer Inspiron3591;15/9/2021;7.5;737.02;39.5;High;315.6
AST000080;Desktop;Apple;Apple Inspiron1053;19/2/2020;6.2;846.57;58.4;Medium;269.8
AST000081;Desktop;Lenovo;Lenovo Pavilion5315;3/2/2022;6.8;696.4;34.9;Medium;234.1
AST000082;Desktop;Acer;Acer Latitude3927;25/2/2022;7.5;735.35;34.2;High;254.7
AST000083;Server;Acer;Acer Latitude2743;15/7/2020;7.4;3103.84;53.5;High;1215.5
AST000084;Laptop;HP;HP 5889;27/11/2023;10;903.99;13.1;High;329.2
AST000085;Desktop;Dell;Dell 9317;23/2/2021;8.1;567.74;46.2;High;265.3
AST000086;Laptop;Acer;Acer Latitude4258;5/1/2020;5;954.36;59.9;Medium;276.7
AST000087;Laptop;Other;Other Elite7126;17/10/2023;10;983.92;14.5;High;313.1
AST000088;Desktop;Lenovo;Lenovo 3646;26/10/2021;7.4;574.41;38.2;High;246.3
AST000089;Desktop;Dell;Dell Latitude9689;6/2/2023;7.3;713.97;22.8;High;251.6
AST000090;Laptop;HP;HP Pro6310;12/3/2020;5.5;775.01;57.7;Medium;311.1
AST000091;Laptop;Dell;Dell Inspiron1319;15/1/2020;2.6;826.8;59.5;Low;325.8
AST000092;Monitor;Other;Other Pro6947;9/3/2023;8.2;288.41;21.8;High;195.2
AST000093;Tablet;Apple;Apple 6038;11/1/2023;6.8;490.54;23.7;Medium;139.9
AST000094;Monitor;Apple;Apple Elite1949;13/7/2022;9.2;428;29.6;High;207.3
AST000095;Desktop;Apple;Apple Elite2290;1/11/2023;9.1;759.13;14;High;270
AST000096;Laptop;Lenovo;Lenovo Pro8962;19/11/2023;10;848.12;13.4;High;290
AST000097;Server;Apple;Apple 2133;1/3/2024;10;4872.24;10;High;1116.4
AST000098;Laptop;Dell;Dell 9727;22/9/2020;5.8;955.35;51.3;Medium;299.6
AST000099;Server;Dell;Dell 3060;13/7/2022;8.1;3913.98;29.6;High;1116
AST000100;Laptop;Apple;Apple Elite8787;19/9/2023;7.7;1163.3;15.4;High;313
AST000101;Desktop;Acer;Acer Latitude3705;6/12/2021;6.7;728.57;36.8;Medium;232.7
AST000102;Desktop;Lenovo;Lenovo ThinkPad9645;28/8/2020;4.2;622.31;52.1;Medium;230.1
AST000103;Tablet;Acer;Acer 7932;17/1/2023;9.3;422.77;23.5;High;157.1
AST000104;Tablet;Samsung;Samsung Elite9835;21/6/2020;5.3;346.48;54.3;Low;140.6
AST000105;Monitor;HP;HP 4295;15/5/2021;7.3;317.49;43.6;High;212.1
AST000106;Laptop;HP;HP Pavilion6107;11/6/2022;7.3;1090.61;30.7;High;297.9
AST000107;Desktop;Samsung;Samsung Inspiron7118;27/7/2020;6.2;599.61;53.2;Medium;245.9
AST000108;Tablet;HP;HP Inspiron9479;28/7/2023;7.8;424.48;17.1;High;150.5
AST000109;Tablet;HP;HP Inspiron2982;8/7/2024;10;407.46;5.8;High;157.5
AST000110;Laptop;ASUS;ASUS Elite4681;13/4/2021;6.3;783.7;44.6;Medium;320.2
AST000111;Desktop;HP;HP Pro6539;22/8/2022;6;716.29;28.3;Medium;232.8
AST000112;Laptop;ASUS;ASUS Pro4770;10/12/2022;6.7;982.81;24.7;Medium;301.6
AST000113;Monitor;Other;Other Latitude4608;8/10/2024;10;271.45;2.8;High;184.2
AST000114;Server;Dell;Dell Pro2163;2/8/2021;6.6;3814.11;41;Medium;1317.3
AST000115;Desktop;Acer;Acer Pavilion1964;22/12/2024;9.3;778.54;0.3;High;225.7
AST000116;Laptop;Dell;Dell Elite2104;4/1/2021;5.1;958.22;47.9;Medium;312.2
AST000117;Tablet;Lenovo;Lenovo Pro6413;3/5/2023;6.2;457.65;20;Medium;147.3
AST000118;Desktop;HP;HP Pro9423;22/5/2024;10;821.92;7.3;High;230.7
AST000119;Desktop;Other;Other Elite5562;18/6/2021;9.3;558.15;42.4;High;232
AST000120;Monitor;Other;Other Pavilion8953;23/7/2021;8.7;331.64;41.3;High;212.9
AST000121;Desktop;Acer;Acer Elite9834;5/7/2020;7.4;529.54;53.9;High;225.5
AST000122;Laptop;ASUS;ASUS Elite8744;12/10/2022;8.3;893.15;26.6;High;299.7
AST000123;Desktop;Acer;Acer Elite8749;14/6/2023;8.4;680.98;18.6;High;237.3
AST000124;Laptop;HP;HP 7669;7/5/2023;8.5;1001.56;19.8;High;327
AST000125;Laptop;Samsung;Samsung Elite2545;26/3/2022;6.7;846.77;33.2;Medium;305.8
AST000126;Laptop;Acer;Acer Pro8062;17/2/2020;5.3;772.09;58.4;Medium;312.3
AST000127;Desktop;HP;HP ThinkPad7939;12/2/2020;5;683.82;58.6;Medium;243
AST000128;Laptop;Samsung;Samsung Inspiron8651;23/3/2024;10;903.63;9.3;High;275.2
AST000129;Tablet;Apple;Apple 1887;5/8/2023;9;510.04;16.9;High;149.7
AST000130;Laptop;Other;Other Pavilion2612;10/12/2020;6.4;828.24;48.7;Medium;330
AST000131;Desktop;Lenovo;Lenovo Pro7596;7/5/2020;6.7;713.05;55.8;Medium;272.2
AST000132;Desktop;ASUS;ASUS Pavilion6559;10/10/2021;7.2;653.73;38.7;High;257.5
AST000133;Laptop;Lenovo;Lenovo 2790;11/6/2024;10;740.22;6.7;High;288.9
AST000134;Desktop;Acer;Acer Elite4139;16/5/2023;7.8;634.86;19.5;High;268.8
AST000135;Desktop;HP;HP Elite9786;13/12/2020;7.5;738.88;48.6;High;274.9
AST000136;Laptop;Apple;Apple Inspiron3296;25/6/2022;7.5;1138.01;30.2;High;286.3
AST000137;Laptop;Dell;Dell Inspiron4006;1/5/2022;6.9;878.56;32;Medium;287.2
AST000138;Laptop;Dell;Dell ThinkPad8579;14/1/2020;4.8;719.88;59.6;Medium;276.6
AST000139;Laptop;Dell;Dell Elite2235;5/12/2023;8.8;1104.66;12.9;High;326.7
AST000140;Desktop;Lenovo;Lenovo Inspiron2604;27/3/2024;8.6;645.54;9.2;High;266.9
AST000141;Laptop;Acer;Acer Pro9856;25/3/2020;4.6;889.47;57.2;Medium;291
AST000142;Laptop;Other;Other 1241;26/11/2024;9.3;904.97;1.1;High;285.6
AST000143;Desktop;Lenovo;Lenovo Pro4872;3/12/2024;9.2;681.94;0.9;High;254.6
AST000144;Desktop;Dell;Dell Elite7658;28/10/2021;6.8;673.46;38.1;Medium;227.2
AST000145;Monitor;Dell;Dell Inspiron8886;11/5/2024;9.5;350.78;7.7;High;190.4
AST000146;Server;Lenovo;Lenovo Elite7570;13/2/2021;6.6;3577.58;46.6;Medium;1318
AST000147;Laptop;ASUS;ASUS Pro3697;3/7/2024;10;919.56;5.9;High;286
AST000148;Monitor;Acer;Acer Inspiron1035;27/8/2024;8.7;290.36;4.1;High;193.4
AST000149;Laptop;Samsung;Samsung Inspiron5345;28/2/2023;8;814.49;22.1;High;314.6
AST000150;Laptop;Acer;Acer 8454;7/10/2022;7.9;743.91;26.8;High;275
AST000151;Laptop;Lenovo;Lenovo ThinkPad7930;24/2/2022;6.9;774.51;34.2;Medium;271.1
AST000152;Desktop;Acer;Acer Pavilion8973;5/6/2021;7.3;519.74;42.9;High;271.9
AST000153;Server;Dell;Dell Elite4111;22/5/2023;8.7;2960.94;19.3;High;1097.9
AST000154;Monitor;Other;Other ThinkPad4566;27/8/2022;10;270.95;28.2;High;210.3
AST000155;Laptop;Dell;Dell Pro9883;19/5/2022;7.3;1098.58;31.4;High;276.1
AST000156;Monitor;Lenovo;Lenovo Pro6138;2/10/2021;6.9;342.72;39;Medium;189.2
AST000157;Laptop;ASUS;ASUS Pro1821;21/12/2020;4.1;742.64;48.3;Medium;313.5
AST000158;Server;Dell;Dell Latitude8811;18/10/2023;8.6;4121.24;14.5;High;1193.6
AST000159;Tablet;Dell;Dell Latitude9701;15/10/2023;10;387.11;14.6;High;158.9
AST000160;Laptop;Samsung;Samsung Elite1931;15/12/2021;4.5;817.91;36.5;Medium;277
AST000161;Laptop;Apple;Apple Latitude2312;25/6/2021;6.9;996.61;42.2;Medium;305.4
AST000162;Desktop;Other;Other 4044;18/3/2022;6.8;630.9;33.5;Medium;255
AST000163;Laptop;Apple;Apple Pro2113;8/10/2023;9.7;973.05;14.8;High;276.2
AST000164;Desktop;Dell;Dell Pavilion4853;1/6/2021;8;696.02;43;High;225.5
AST000165;Laptop;Lenovo;Lenovo Inspiron2964;1/2/2022;6.6;787.65;35;Medium;328.6
AST000166;Laptop;Apple;Apple Latitude5033;12/10/2020;6.9;875.5;50.6;Medium;308.2
AST000167;Server;Dell;Dell Latitude1651;9/11/2020;7.9;3582.59;49.7;High;1272.4
AST000168;Laptop;Acer;Acer Latitude2343;4/2/2024;9.5;930.94;10.9;High;317
AST000169;Desktop;Dell;Dell Inspiron9565;18/3/2022;6.7;780.67;33.5;Medium;257.9
AST000170;Desktop;Lenovo;Lenovo ThinkPad5272;24/8/2021;6.8;735.37;40.2;Medium;257.5
AST000171;Laptop;Apple;Apple Elite6147;1/2/2020;4.7;1231.68;59;Medium;295
AST000172;Monitor;Lenovo;Lenovo Elite5351;28/9/2023;9.6;266.85;15.1;High;214.7
AST000173;Desktop;HP;HP Inspiron3144;2/9/2022;9.5;742.98;28;High;274.6
AST000174;Laptop;HP;HP Pavilion5915;21/6/2022;7.9;1019.78;30.4;High;277.9
AST000175;Server;ASUS;ASUS Inspiron6180;14/3/2021;4.9;2557.45;45.6;Medium;1184.9
AST000176;Laptop;HP;HP 2188;20/7/2022;7.9;967.48;29.4;High;279.8
AST000177;Laptop;Other;Other Pro8508;1/4/2023;7.8;1035.87;21;High;297.2
AST000178;Laptop;Dell;Dell Latitude2638;10/3/2022;7.5;996;33.7;High;278.7
AST000179;Desktop;Lenovo;Lenovo Pro9808;22/12/2021;8.4;611.73;36.3;High;267.2
AST000180;Monitor;Lenovo;Lenovo Elite9288;20/10/2021;9.4;280.54;38.4;High;182.3
AST000181;Desktop;Samsung;Samsung ThinkPad3170;6/1/2020;6.2;645.17;59.8;Medium;244.9
AST000182;Desktop;Apple;Apple ThinkPad2127;25/1/2021;6;829.14;47.2;Medium;237.7
AST000183;Desktop;HP;HP Elite7054;13/7/2020;5.7;577.72;53.6;Medium;261.5
AST000184;Laptop;Dell;Dell ThinkPad3584;1/12/2021;7.4;1028.99;37;High;326.7
AST000185;Server;Lenovo;Lenovo Inspiron9900;8/8/2024;9.3;3757.17;4.8;High;1300.5
AST000186;Desktop;Samsung;Samsung Pavilion5956;9/10/2023;9.3;551.08;14.8;High;257.9
AST000187;Smartphone;Dell;Dell Latitude9666;16/12/2022;6.4;533.72;24.5;Medium;73.7
AST000188;Server;Apple;Apple Pro5905;2/11/2022;8.8;4567.71;26;High;1271.5
AST000189;Desktop;Acer;Acer Pavilion2697;25/3/2022;8.9;663.94;33.2;High;253.2
AST000190;Laptop;Lenovo;Lenovo Elite5333;3/7/2022;6;755.49;30;Medium;274.4
AST000191;Desktop;Apple;Apple Pro2753;3/8/2022;8.7;941.62;28.9;High;270.7
AST000192;Monitor;Dell;Dell Pavilion3546;15/3/2022;8.5;354.5;33.6;High;204.3
AST000193;Server;Acer;Acer ThinkPad5616;13/8/2024;9.5;3893.18;4.6;High;1097.1
AST000194;Tablet;Apple;Apple Latitude4450;13/6/2021;6.5;503.81;42.6;Medium;138
AST000195;Desktop;HP;HP Pavilion6617;15/5/2021;9.6;568.21;43.6;High;260.9
AST000196;Laptop;Other;Other Elite5325;7/10/2022;8.7;909.44;26.8;High;280.9
AST000197;Desktop;Apple;Apple Latitude9004;10/2/2022;7.5;690.23;34.7;High;265.8
AST000198;Laptop;Lenovo;Lenovo ThinkPad1832;22/2/2020;5.9;902.14;58.3;Medium;323.1
AST000199;Laptop;Dell;Dell Pro7939;10/8/2022;7.3;834.62;28.7;High;316.8
AST000200;Laptop;Acer;Acer 5533;18/6/2023;9.2;965.01;18.5;High;279
AST000201;Desktop;Dell;Dell Pro1058;1/4/2024;9.2;598.35;9;High;257.1
AST000202;Desktop;Lenovo;Lenovo ThinkPad3143;25/4/2022;7.7;635.18;32.2;High;274.4
AST000203;Laptop;Apple;Apple Pavilion5291;7/6/2022;8.5;1147.92;30.8;High;290.2
AST000204;Tablet;Acer;Acer Elite8239;4/4/2023;7.2;382.26;20.9;High;144.7
AST000205;Laptop;HP;HP Latitude8007;2/2/2022;6.6;985.1;34.9;Medium;286.3
AST000206;Desktop;Apple;Apple Latitude1158;22/4/2022;8.1;882.85;32.3;High;274.7
AST000207;Server;Lenovo;Lenovo Pro2232;8/9/2022;7.6;3767.24;27.8;High;1232.4
AST000208;Server;Dell;Dell Pavilion3442;23/6/2022;8.5;3856.42;30.3;High;1163.4
AST000209;Server;Acer;Acer Latitude1590;28/11/2021;8.8;2773.16;37.1;High;1241.2
AST000210;Laptop;HP;HP 7049;21/9/2024;10;1114.15;3.3;High;316.9
AST000211;Server;Dell;Dell Latitude3426;2/5/2021;6;3044.22;44;Medium;1202.3
AST000212;Monitor;HP;HP Inspiron3088;6/12/2024;8.8;431.6;0.8;High;199.9
AST000213;Smartphone;ASUS;ASUS Pro6050;10/4/2024;10;599.04;8.7;High;80.5
AST000214;Server;Dell;Dell ThinkPad1653;15/4/2023;9.5;3457.41;20.6;High;1121.6
AST000215;Server;HP;HP ThinkPad4441;25/12/2023;8.6;3328.99;12.2;High;1225.5
AST000216;Laptop;ASUS;ASUS Pavilion5088;3/10/2021;9.4;790.6;38.9;High;278.8
AST000217;Laptop;Dell;Dell Pavilion2684;4/1/2020;5.3;1033.63;59.9;Medium;322.6
AST000218;Laptop;ASUS;ASUS ThinkPad7658;2/1/2020;4;848.06;60;Medium;279.1
AST000219;Laptop;Acer;Acer Latitude3532;11/6/2020;6.1;735.15;54.7;Medium;295.8
AST000220;Laptop;Dell;Dell Elite3662;7/9/2021;8.1;976.07;39.8;High;273.7
AST000221;Desktop;Other;Other 3900;20/10/2023;9.5;745.04;14.4;High;261.2
AST000222;Server;HP;HP Inspiron1406;27/8/2022;7.4;3377.85;28.2;High;1278.6
AST000223;Server;Apple;Apple Elite6442;27/1/2022;9.4;4269.84;35.1;High;1243.4
AST000224;Laptop;Lenovo;Lenovo 7745;13/5/2023;8;1037.98;19.6;High;318.1
AST000225;Tablet;Lenovo;Lenovo 5065;21/2/2022;5;394.27;34.3;Medium;157.1
AST000226;Desktop;HP;HP ThinkPad3608;21/6/2022;7.9;827.27;30.4;High;231.7
AST000227;Laptop;Apple;Apple 2771;16/12/2023;9.6;924.3;12.5;High;324.1
AST000228;Desktop;Lenovo;Lenovo Inspiron1634;8/8/2024;9.2;598.61;4.8;High;269.5
AST000229;Desktop;ASUS;ASUS 8711;23/2/2024;9.1;560.39;10.2;High;260.8
AST000230;Laptop;Dell;Dell Elite4269;21/1/2024;9.1;941.29;11.3;High;297.7
AST000231;Smartphone;Other;Other 8541;19/12/2023;9.5;493.78;12.4;High;72.3
AST000232;Laptop;Other;Other ThinkPad6000;25/5/2023;9.1;1038.03;19.3;High;310
AST000233;Laptop;HP;HP 4728;25/4/2020;4.7;1044.91;56.2;Medium;317.9
AST000234;Laptop;Other;Other Elite1387;16/8/2022;7.7;953.75;28.5;High;309.4
AST000235;Laptop;HP;HP Pavilion4164;25/11/2021;7.8;866.03;37.2;High;279.8
AST000236;Laptop;Samsung;Samsung Inspiron6378;17/8/2022;5.5;897.46;28.5;Medium;287.2
AST000237;Monitor;ASUS;ASUS ThinkPad2137;18/10/2024;8.6;400.3;2.4;High;209.9
AST000238;Desktop;Dell;Dell 5573;22/1/2021;7.5;811.59;47.3;High;271.9
AST000239;Laptop;Dell;Dell ThinkPad9346;27/3/2023;8.2;825.17;21.2;High;290.5
AST000240;Desktop;Apple;Apple Inspiron9785;22/9/2023;9.5;872.31;15.3;High;259.4
AST000241;Monitor;Lenovo;Lenovo ThinkPad1452;10/9/2021;9.4;338.88;39.7;High;215.3
AST000242;Laptop;Dell;Dell Pro5279;25/10/2023;9.1;980.33;14.2;High;314
AST000243;Desktop;Dell;Dell Elite5349;20/5/2023;9.9;817.23;19.4;High;266.6
AST000244;Laptop;Apple;Apple Pro2776;16/9/2023;8.8;974.39;15.5;High;288.3
AST000245;Monitor;Other;Other Latitude8119;20/5/2022;7.8;271.93;31.4;High;206.5
AST000246;Laptop;Dell;Dell ThinkPad6139;28/1/2021;6.7;1013.06;47.1;Medium;275.6
AST000247;Desktop;Lenovo;Lenovo Inspiron9379;16/8/2020;7.2;492.67;52.5;High;249.3
AST000248;Desktop;Lenovo;Lenovo Pro7311;14/1/2021;5.8;531.23;47.5;Medium;259.8
AST000249;Server;Other;Other Latitude4114;19/4/2023;7.7;3045.28;20.4;High;1184.2
AST000250;Laptop;Dell;Dell ThinkPad1727;11/7/2023;8.3;1048.83;17.7;High;288
AST000251;Laptop;Lenovo;Lenovo Pavilion8144;15/7/2021;7.7;785.71;41.6;High;304.3
AST000252;Desktop;Dell;Dell Pro9518;13/5/2021;6.8;734.25;43.6;Medium;254.3
AST000253;Desktop;Apple;Apple 9821;19/11/2023;8.6;976.96;13.4;High;267.1
AST000254;Laptop;Acer;Acer Pavilion4228;6/6/2022;5.8;892.49;30.8;Medium;273
AST000255;Tablet;ASUS;ASUS ThinkPad8066;9/9/2020;4.6;341.66;51.7;Medium;157.5
AST000256;Server;Samsung;Samsung Pro6409;22/2/2020;5.7;2714.05;58.3;Medium;1139.3
AST000257;Tablet;Dell;Dell Latitude6143;10/4/2023;7.2;413.68;20.7;High;160.6
AST000258;Laptop;Lenovo;Lenovo Pavilion3041;18/7/2021;7.3;794.7;41.5;High;290.8
AST000259;Monitor;Dell;Dell Pavilion5920;15/8/2024;9.5;418.07;4.5;High;211.5
AST000260;Desktop;Lenovo;Lenovo Latitude6067;23/12/2020;7.7;527.54;48.3;High;253.3
AST000261;Desktop;Other;Other Pavilion7691;9/8/2021;6.5;663.42;40.7;Medium;252.3
AST000262;Smartphone;Dell;Dell ThinkPad7592;7/6/2022;5.7;631.47;30.8;Medium;80.7
AST000263;Laptop;HP;HP Pavilion5844;2/6/2021;5.3;760.49;43;Medium;321.7
AST000264;Desktop;Apple;Apple Latitude3085;6/5/2023;9.3;954.4;19.9;High;248
AST000265;Laptop;Acer;Acer Elite7888;20/4/2021;7.9;907.75;44.4;High;271.1
AST000266;Laptop;Apple;Apple Pavilion7211;9/3/2021;6.5;1096.99;45.8;Medium;315
AST000267;Desktop;Lenovo;Lenovo Pavilion3851;12/2/2021;6.7;520.47;46.6;Medium;257.8
AST000268;Monitor;HP;HP Latitude5930;24/9/2024;10;323.29;3.2;High;183.8
AST000269;Laptop;Apple;Apple Inspiron9977;9/4/2021;7;1085.35;44.7;High;279.5
AST000270;Server;Acer;Acer 1006;3/5/2024;9.4;3893.82;8;High;1120.5
AST000271;Desktop;Lenovo;Lenovo ThinkPad5700;28/1/2022;7.1;711.96;35.1;High;273.4
AST000272;Monitor;Dell;Dell Elite8043;1/9/2021;9;328.72;40;High;219.4
AST000273;Server;Lenovo;Lenovo 6279;27/3/2024;10;3654.81;9.2;High;1293.7
AST000274;Laptop;Apple;Apple Inspiron8238;20/3/2024;10;1359.65;9.4;High;276.6
AST000275;Server;Other;Other Inspiron4501;9/11/2023;9.1;3699.35;13.7;High;1160.4
AST000276;Laptop;Apple;Apple Latitude8752;21/10/2020;3.6;1006.77;50.3;Low;324.3
AST000277;Server;Dell;Dell 3780;22/8/2022;9.2;3978.96;28.3;High;1141
AST000278;Laptop;Apple;Apple Pavilion2389;24/2/2021;6.8;886.8;46.2;Medium;280.5
AST000279;Monitor;Dell;Dell ThinkPad9445;3/10/2021;8.3;313.43;38.9;High;188.5
AST000280;Laptop;HP;HP Pavilion6491;12/8/2024;10;880.24;4.6;High;318.4
AST000281;Laptop;ASUS;ASUS Pro4848;27/8/2024;8.7;877.02;4.1;High;297.6
AST000282;Monitor;Lenovo;Lenovo Pavilion6085;14/6/2024;9.8;333.19;6.6;High;180.7
